"","X","filename","decade","category","license","year","fees_usd","items","revenues_usd"
"55",55,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1972,NA,NA,NA
"56",56,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1972,5,65,325
"57",57,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1972,5,891,4455
"58",58,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1972,1,661,661
"59",59,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1972,NA,NA,NA
"60",60,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1972,NA,NA,NA
"61",61,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1972,NA,NA,NA
"62",62,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1972,NA,NA,NA
"63",63,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1972,NA,NA,NA
"64",64,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1973,25,77,1925
"65",65,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1973,1,550,550
"66",66,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1973,15,814,12210
"67",67,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1973,NA,NA,NA
"68",68,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1973,NA,NA,NA
"69",69,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1973,5,1092,5460
"70",70,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1973,25,124,3100
"71",71,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1973,NA,NA,NA
"72",72,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1973,10,504,5040
"73",73,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1973,NA,NA,NA
"74",74,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1973,75,78,5850
"75",75,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1973,100,126,12600
"76",76,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1973,NA,NA,NA
"77",77,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1973,5,65,325
"78",78,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1973,5,972,4860
"79",79,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1973,1,853,853
"80",80,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1973,NA,NA,NA
"81",81,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1973,NA,NA,NA
"82",82,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1973,NA,NA,NA
"83",83,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1973,NA,NA,NA
"84",84,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1973,NA,NA,NA
"85",85,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1974,25,77,1925
"86",86,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1974,1,407,407
"87",87,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1974,15,751,11265
"88",88,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1974,NA,NA,NA
"89",89,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1974,NA,NA,NA
"90",90,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1974,5,977,4885
"91",91,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1974,25,103,2575
"92",92,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1974,NA,NA,NA
"93",93,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1974,25,203,5075
"94",94,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1974,NA,NA,NA
"95",95,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1974,75,66,4950
"96",96,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1974,100,120,12000
"97",97,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1974,NA,NA,NA
"98",98,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1974,5,61,305
"99",99,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1974,5,1087,5435
"100",100,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1974,1,878,878
"101",101,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1974,NA,NA,NA
"102",102,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1974,NA,NA,NA
"103",103,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1974,5,4,20
"104",104,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1974,25,2,50
"105",105,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1974,10,38,380
"106",106,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1975,25,67,1675
"107",107,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1975,1,435,435
"108",108,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1975,15,779,11685
"109",109,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1975,NA,NA,NA
"110",110,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1975,NA,NA,NA
"111",111,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1975,5,985,4925
"112",112,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1975,25,97,2425
"113",113,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1975,NA,NA,NA
"114",114,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1975,25,216,5400
"115",115,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1975,100,4,400
"116",116,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1975,75,62,4650
"117",117,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1975,100,111,11100
"118",118,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1975,NA,NA,NA
"119",119,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1975,5,65,325
"120",120,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1975,5,1129,5645
"121",121,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1975,1,817,817
"122",122,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1975,5,NA,NA
"123",123,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1975,75,0,NA
"124",124,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1975,5,114,570
"125",125,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1975,25,15,375
"126",126,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1975,10,802,8020
"127",127,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1976,25,77,1925
"128",128,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1976,1,374,374
"129",129,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1976,15,843,12645
"130",130,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1976,NA,NA,NA
"131",131,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1976,NA,NA,NA
"132",132,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1976,5,968,4840
"133",133,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1976,25,112,2800
"134",134,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1976,NA,NA,NA
"135",135,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1976,25,230,5750
"136",136,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1976,100,4,400
"137",137,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1976,75,60,4500
"138",138,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1976,100,106,10600
"139",139,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1976,NA,NA,NA
"140",140,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1976,5,70,350
"141",141,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1976,5,1234,6170
"142",142,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1976,1,856,856
"143",143,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1976,5,3981,19905
"144",144,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1976,75,3,225
"145",145,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1976,5,164,820
"146",146,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1976,25,34,850
"147",147,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1976,10,1494,14940
"148",148,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1977,100,19,1900
"149",149,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1977,1,343,343
"150",150,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1977,25,542,13550
"151",151,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1977,NA,NA,NA
"152",152,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1977,NA,NA,NA
"153",153,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1977,5,954,4770
"154",154,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1977,25,112,2800
"155",155,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1977,NA,NA,NA
"156",156,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1977,25,218,5450
"157",157,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1977,100,3,300
"158",158,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1977,75,58,4350
"159",159,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1977,100,95,9500
"160",160,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1977,NA,NA,NA
"161",161,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1977,5,71,355
"162",162,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1977,10,693,6930
"163",163,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1977,5,185,925
"164",164,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1977,5,3625,18125
"165",165,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1977,75,2,150
"166",166,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1977,5,163,815
"167",167,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1977,25,44,1100
"168",168,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1977,10,1644,16440
"169",169,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1978,100,72,7200
"170",170,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1978,1,333,333
"171",171,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1978,25,572,14300
"172",172,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1978,NA,NA,NA
"173",173,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1978,NA,NA,NA
"174",174,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1978,5,973,4865
"175",175,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1978,25,108,2700
"176",176,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1978,NA,NA,NA
"177",177,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1978,25,266,6650
"178",178,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1978,100,5,500
"179",179,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1978,75,66,4950
"180",180,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1978,100,90,9000
"181",181,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1978,NA,NA,NA
"182",182,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1978,5,69,345
"183",183,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1978,10,1310,13100
"184",184,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1978,5,732,3660
"185",185,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1978,5,3818,19090
"186",186,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1978,75,2,150
"187",187,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1978,5,194,970
"188",188,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1978,25,94,2350
"189",189,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1978,10,2076,20760
"190",190,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1979,100,67,6700
"191",191,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1979,1,295,295
"192",192,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1979,25,581,14525
"193",193,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1979,25,4,100
"194",194,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1979,50,14,700
"195",195,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1979,5,832,4160
"196",196,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1979,25,108,2700
"197",197,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1979,12.5,21,263
"198",198,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1979,25,326,8150
"199",199,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1979,100,8,800
"200",200,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1979,75,64,4800
"201",201,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1979,100,84,8400
"202",202,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1979,50,2,100
"203",203,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1979,5,72,360
"204",204,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1979,10,1379,13790
"205",205,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1979,5,587,2935
"206",206,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1979,5,5206,26030
"207",207,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1979,75,9,675
"208",208,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1979,5,245,1225
"209",209,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1979,25,130,3250
"210",210,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1979,10,2862,28620
"211",211,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Aquaculture Registration (Renewal)",1980,NA,NA,NA
"212",212,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Commercial Hunting Club License",1980,100,56,5600
"213",213,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Dog Training Permit",1980,1,304,304
"214",214,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Falconry License",1980,25,567,14175
"215",215,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Fur Agent License",1980,25,13,325
"216",216,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Fur Buyer",1980,50,33,1650
"217",217,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Fur Dealer",1980,NA,NA,NA
"218",218,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Domesticated Game Breeder License Class 1",1980,5,753,3765
"219",219,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Domesticated Game Breeder License Class 2",1980,25,99,2475
"220",220,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Domesticated Game Breeder License Class 3",1980,12.5,48,600
"221",221,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Guide License (R)",1980,25,489,12225
"222",222,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Guide License (NR)",1980,100,13,1300
"223",223,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Licensed Guide Employee Registration",1980,NA,NA,NA
"224",224,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Licensed Game Bird Club A <500",1980,75,62,4650
"225",225,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Licensed Game Bird Club A >500",1980,100,82,8200
"226",226,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1980,50,2,100
"227",227,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Organizational Field Trial Permit (R)",1980,5,70,350
"228",228,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Scientific Collecting Permit (R)",1980,10,1387,13870
"229",229,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Scientific Collecting Permit (NR)",1980,NA,NA,NA
"230",230,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Scientific Collecting Permit (Student)",1980,5,535,2675
"231",231,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Suction Dredge Permit - Standard (R)",1980,5,12763,63815
"232",232,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Suction Dredge Permit - Standard (NR)",1980,NA,NA,NA
"233",233,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Suction Dredge Permit - Special",1980,75,34,2550
"234",234,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Trapping License (Junior)",1980,5,235,1175
"235",235,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Trapping License (R)",1980,10,2865,28650
"236",236,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Trapping License (NR)",1980,25,111,2775
"237",237,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Aquaculture Registration (Renewal)",1981,NA,NA,NA
"238",238,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Commercial Hunting Club License",1981,100,55,5500
"239",239,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Dog Training Permit",1981,1,327,327
"240",240,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Falconry License",1981,25,593,14825
"241",241,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Fur Agent License",1981,25,10,250
"242",242,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Fur Buyer",1981,50,29,1450
"243",243,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Fur Dealer",1981,NA,NA,NA
"244",244,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Domesticated Game Breeder License Class 1",1981,5,819,4095
"245",245,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Domesticated Game Breeder License Class 2",1981,25,90,2250
"246",246,"tabula-80s Fees Special Permits.csv","1980s","Licenses","Domesticated Game Breeder License Class 3",1981,12.5,56,700
