"SPECIES_CODE","SPECIES_COMMON_NAME","AKFIN_SPECIES_CODE"
"352","Macroalgae Codes","OTHR"
"353","Macroalgae Codes","OTHR"
"354","Macroalgae Codes","OTHR"
"355","Macroalgae Codes","OTHR"
"356","Macroalgae Codes","OTHR"
"357","Macroalgae Codes","OTHR"
"358","Macroalgae Codes","OTHR"
"359","Macroalgae Codes","OTHR"
"360","Macroalgae Codes","OTHR"
"361","Macroalgae Codes","OTHR"
"362","Macroalgae Codes","OTHR"
"363","Macroalgae Codes","OTHR"
"364","Macroalgae Codes","OTHR"
"365","Macroalgae Codes","OTHR"
"366","Macroalgae Codes","OTHR"
"367","Macroalgae Codes","OTHR"
"368","Macroalgae Codes","OTHR"
"369","Macroalgae Codes","OTHR"
"370","Macroalgae Codes","OTHR"
"371","Macroalgae Codes","OTHR"
"372","Macroalgae Codes","OTHR"
"373","Macroalgae Codes","OTHR"
"374","Macroalgae Codes","OTHR"
"375","Macroalgae Codes","OTHR"
"376","Macroalgae Codes","OTHR"
"377","Macroalgae Codes","OTHR"
"378","Macroalgae Codes","OTHR"
"379","Macroalgae Codes","OTHR"
"380","Macroalgae Codes","OTHR"
"400","salmon, roe (unknown species)","SLMN"
"401","salmon roe, chinook","SLMN"
"402","salmon roe, sockeye","SLMN"
"403","salmon roe, coho","SLMN"
"404","salmon roe, pink","SLMN"
"405","salmon roe, chum","SLMN"
"410","salmon, chinook","SLMN"
"411","chinook, sm.","SLMN"
"420","salmon, sockeye","SLMN"
"430","salmon, coho","SLMN"
"440","salmon, pink","SLMN"
"450","salmon, chum","SLMN"
"460","Salmon, Mixed","SLMN"
"490","salmon, groundfish bycatch","SLMN"
"500","pike, northern","OTHR"
"510","smelt, general","OTHR"
"511","smelt, eulachon","OTHR"
"512","smelt, longfin","OTHR"
"513","smelt, rainbow","OTHR"
"514","smelt, pond","OTHR"
"515","smelt, surf","OTHR"
"516","smelt, capelin","OTHR"
"520","char, Arctic (general)","OTHR"
"521","char, Arctic (anadromous)","OTHR"
"522","char, Arctic (nonanadromous)","OTHR"
"530","Dolly Varden (general)","OTHR"
"531","Dolly Varden (anadromous)","OTHR"
"532","Dolly Varden (nonanadromous)","OTHR"
"540","trout, steelhead","OTHR"
"541","trout, rainbow","OTHR"
"550","trout, lake","OTHR"
"555","trout, brook","OTHR"
"560","trout, cutthroat (general)","OTHR"
"561","trout, cutthroat (anadromous)","OTHR"
"562","trout, cutthroat (nonanadromous)","OTHR"
"570","inconnu (sheefish)","OTHR"
"580","whitefish, general","OTHR"
"583","whitefish, least cisco","OTHR"
"584","whitefish, Arctic cisco","OTHR"
"585","whitefish, Bering cisco","OTHR"
"586","whitefish, round","OTHR"
"587","whitefish, pygmy","OTHR"
"588","whitefish, broad","OTHR"
"589","whitefish, humpback","OTHR"
"590","burbot","OTHR"
"600","lamprey, Pacific","OTHR"
"601","lamprey, Arctic","OTHR"
"602","lamprey, river","OTHR"
"603","lamprey, brook","OTHR"
"610","grayling, Arctic","OTHR"
"625","jellyfish","OTHR"
"630","blackfish, Alaska","OTHR"
"640","longnose sucker","OTHR"
"650","lake chub","OTHR"
"660","stickleback, threespine","OTHR"
"661","stickleback, ninespine","OTHR"
"666","salmon, Atlantic","OTHR"
"670","trout perch","OTHR"
"680","sturgeon, general","OTHR"
"681","sturgeon, green","OTHR"
"682","sturgeon, white","OTHR"
"683","11111111111111111","OTHR"
"689","shark, other","OTHR"
"690","shark, salmon","OTHR"
"691","shark, spiny dogfish","OTHR"
"692","Pacific sleeper shark","OTHR"
"700","skate, other","OTHR"
"701","skate, longnose","OTHR"
"702","skate, big","OTHR"
"703","skate, Alaskan","OTHR"
"704","skate, Aleutian","OTHR"
"705","skate, Whiteblotched","OTHR"
"710","sablefish (blackcod)","SABL"
"714","ratfish, spotted","OTHR"
"715","skilfish","OTHR"
"720","tuna, albacore","OTHR"
"750","swordfish","OTHR"
"751","mahi mahi/ dolphin","OTHR"
"752","mako shark","OTHR"
"753","tuna, big eye","OTHR"
"754","striped marlin","OTHR"
"755","tuna, yellowfin","OTHR"
"756","pompano Pacific","OTHR"
"757","mackerel, chub","OTHR"
"758","opah","OTHR"
"772","lanternfish","OTHR"
"773","deep-sea smelts","OTHR"
"774","Pacific sand lance","OTHR"
"800","Krill","SHLF"
"810","clam, Washington butter","SHLF"
"812","clam, Arctic surf","SHLF"
"815","clam, Pacific geoduck","SHLF"
"820","clam, cockle","SHLF"
"825","clam, horse","SHLF"
"830","clam, Pacific razor","SHLF"
"840","clam, Pacific little-neck","SHLF"
"842","clam, eastern softshell","SHLF"
"850","scallop, weathervane","SHLF"
"851","scallop, pink (or calico)","SHLF"
"855","blue mussel","SHLF"
"860","abalone, northern (pinto)","SHLF"
"870","octopus, North Pacific","OTHR"
"875","squid, majestic","OTHR"
"880","oysters, Pacific","OTHR"
"890","snails","OTHR"
"892","red sea urchin","OTHR"
"893","green sea urchin","OTHR"
"894","red sea cucumber","OTHR"
"895","sea cucumber","OTHR"
"896","sea urchin","OTHR"
"899","coral","OTHR"
"900","crab,box","OTHR"
"910","crab, Dungeness","OCRB"
"920","crab, king (general)","KCRB"
"921","crab, red king","KCRB"
"922","crab, blue king","KCRB"
"923","crab, golden (brown) king","KCRB"
"924","crab, scarlet (couesi) king","KCRB"
"930","crab, Tanner (general)","TCRB"
"931","crab, Tanner, bairdi","TCRB"
"932","crab, Tanner, snow (opilio)","TCRB"
"933","crab, Tanner, grooved (tanneri)","TCRB"
"934","crab, Tanner, triangle (angulatus)","TCRB"
"940","crab, Korean horsehair","OCRB"
"951","crab, multispina","OCRB"
"953","crab, verrilli","OCRB"
"960","shrimp, general","SHLF"
"961","shrimp, northern (pink)","SHLF"
"962","shrimp, sidestriped","SHLF"
"963","shrimp, humpy","SHLF"
"964","shrimp, coonstriped","SHLF"
"965","shrimp, spot","SHLF"
"998","Interim Value","OTHR"
"999","Missing value","OTHR"
