"FMP_AREA","GEAR","PROCESSING_SECTOR","SPECIES","YEAR","EXVES_PRICE_LB"
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Northern Rockfish","2003",.063
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Northern Rockfish","2003",.062
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Rock Sole (BSAI)","2003",.214
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Rock Sole (BSAI)","2003",.214
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Rock Sole (BSAI)","2003",.214
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Pollock","2003",.092
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Pollock","2003",.079
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Pollock","2003",.108
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2003",.214
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Rock Sole (BSAI)","2003",.214
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Rock Sole (BSAI)","2003",.214
"Gulf of Alaska","Fixed","All Sectors","Shallow-Water Flatfish (GOA)","2003",.099
"Gulf of Alaska","Trawl","All Sectors","Shallow-Water Flatfish (GOA)","2003",.138
"Gulf of Alaska","All Gear","All Sectors","Northern Rockfish","2003",.06
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2003",.293
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Pacific Cod","2003",.301
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Pacific Cod","2003",.275
"Gulf of Alaska","Trawl","All Sectors","Deep-Water Flatfish (GOA)","2003",.1
"Gulf of Alaska","All Gear","All Sectors","Dusky Rockfish","2003",.061
"Gulf of Alaska","Fixed","All Sectors","Dusky Rockfish","2003",.361
"Gulf of Alaska","Trawl","All Sectors","Dusky Rockfish","2003",.059
"Gulf of Alaska","All Gear","All Sectors","Flathead Sole","2003",.105
"Gulf of Alaska","Trawl","All Sectors","Atka Mackerel","2003",.158
"Gulf of Alaska","All Gear","All Sectors","Deep-Water Flatfish (GOA)","2003",.1
"Gulf of Alaska","Fixed","All Sectors","Deep-Water Flatfish (GOA)","2003",.114
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2003",.12
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Arrowtooth Flounder","2003",.121
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Arrowtooth Flounder","2003",.1
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Arrowtooth Flounder","2003",.182
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Arrowtooth Flounder","2003",.188
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Arrowtooth Flounder","2003",.015
"Gulf of Alaska","Fixed","All Sectors","Arrowtooth Flounder","2003",.099
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Other Rockfish","2003",.614
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Other Rockfish","2003",.614
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Other Rockfish","2003",.615
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Other Rockfish","2003",.354
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Other Rockfish","2003",.357
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Other Rockfish","2003",.143
"Gulf of Alaska","Trawl","All Sectors","Arrowtooth Flounder","2003",.105
"Gulf of Alaska","All Gear","All Sectors","Atka Mackerel","2003",.158
"Gulf of Alaska","Fixed","All Sectors","Atka Mackerel","2003",-9999
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Yellowfin Sole (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Yellowfin Sole (BSAI)","2003",.015
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Yellowfin Sole (BSAI)","2003",.119
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Yellowfin Sole (BSAI)","2003",.119
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Yellowfin Sole (BSAI)","2003",.119
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2003",.434
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Other Rockfish","2003",.417
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Other Rockfish","2003",.577
"Gulf of Alaska","All Gear","All Sectors","Arrowtooth Flounder","2003",.105
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Other Groundfish","2003",.484
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Other Groundfish","2003",.484
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Other Groundfish","2003",.484
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2003",.119
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Yellowfin Sole (BSAI)","2003",.119
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Yellowfin Sole (BSAI)","2003",.118
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Other Groundfish","2003",.053
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Other Groundfish","2003",.053
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Other Groundfish","2003",.053
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Yellowfin Sole (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Turbot (BSAI)","2003",.25
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Turbot (BSAI)","2003",.25
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Turbot (BSAI)","2003",.25
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2003",.352
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Other Groundfish","2003",.368
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Other Groundfish","2003",.091
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Other Flatfish (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Other Flatfish (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Other Flatfish (BSAI)","2003",.041
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2003",.207
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Turbot (BSAI)","2003",.207
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Turbot (BSAI)","2003",.209
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Turbot (BSAI)","2003",.189
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Turbot (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Turbot (BSAI)","2003",.205
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Other Flatfish (BSAI)","2003",.254
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Other Flatfish (BSAI)","2003",.249
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Flathead Sole","2003",.16
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Flathead Sole","2003",.16
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Flathead Sole","2003",.16
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Pollock","2003",.02
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Pollock","2003",.02
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Pollock","2003",.051
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2003",.092
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Pollock","2003",.079
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Pollock","2003",.108
"Gulf of Alaska","All Gear","All Sectors","Rex Sole (GOA)","2003",.12
"Gulf of Alaska","Trawl","All Sectors","Rex Sole (GOA)","2003",.12
"Gulf of Alaska","All Gear","All Sectors","Sablefish","2003",2.383
"Gulf of Alaska","Fixed","All Sectors","Sablefish","2003",2.438
"Gulf of Alaska","Trawl","All Sectors","Sablefish","2003",1.749
"Gulf of Alaska","All Gear","All Sectors","Shallow-Water Flatfish (GOA)","2003",.138
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Flathead Sole","2003",.188
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Flathead Sole","2003",.188
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Flathead Sole","2003",.188
"Gulf of Alaska","All Gear","All Sectors","Pollock","2003",.096
"Gulf of Alaska","Fixed","All Sectors","Pollock","2003",.081
"Gulf of Alaska","Trawl","All Sectors","Pollock","2003",.096
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2003",.161
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Flathead Sole","2003",.161
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Flathead Sole","2003",.16
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Pacific Ocean Perch","2003",.117
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Pacific Ocean Perch","2003",.117
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Pacific Ocean Perch","2003",.117
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Atka Mackerel","2003",.1
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Atka Mackerel","2003",.1
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Atka Mackerel","2003",.1
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Pacific Ocean Perch","2003",.614
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Pacific Ocean Perch","2003",.614
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Pacific Ocean Perch","2003",-9999
"Gulf of Alaska","All Gear","All Sectors","Pacific Ocean Perch","2003",.06
"Gulf of Alaska","Fixed","All Sectors","Pacific Ocean Perch","2003",.072
"Gulf of Alaska","Trawl","All Sectors","Pacific Ocean Perch","2003",.06
"Gulf of Alaska","Fixed","All Sectors","Other Rockfish","2003",.798
"Gulf of Alaska","Trawl","All Sectors","Other Rockfish","2003",.107
"Gulf of Alaska","All Gear","All Sectors","Pacific Cod","2003",.296
"Gulf of Alaska","Fixed","All Sectors","Pacific Cod","2003",.303
"Gulf of Alaska","Trawl","All Sectors","Pacific Cod","2003",.282
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Atka Mackerel","2003",.015
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Atka Mackerel","2003",.015
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Atka Mackerel","2003",.015
"Gulf of Alaska","Fixed","All Sectors","Northern Rockfish","2003",.313
"Gulf of Alaska","Trawl","All Sectors","Northern Rockfish","2003",.06
"Gulf of Alaska","All Gear","All Sectors","Other Rockfish","2003",.401
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2003",.1
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Atka Mackerel","2003",.1
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Atka Mackerel","2003",.1
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2003",.117
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Pacific Ocean Perch","2003",.117
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Pacific Ocean Perch","2003",.117
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Arrowtooth Flounder","2003",.11
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Arrowtooth Flounder","2003",.11
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Arrowtooth Flounder","2003",.11
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Pacific Cod","2003",.304
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Pacific Cod","2003",.307
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Pacific Cod","2003",.29
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Pacific Cod","2003",.275
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Pacific Cod","2003",.284
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Pacific Cod","2003",.267
"Gulf of Alaska","Fixed","All Sectors","Flathead Sole","2003",.099
"Gulf of Alaska","Trawl","All Sectors","Flathead Sole","2003",.105
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Other Flatfish (BSAI)","2004",.373
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Northern Rockfish","2004",.087
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Northern Rockfish","2004",.087
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Northern Rockfish","2004",.087
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2004",.286
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Other Flatfish (BSAI)","2004",.281
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Other Flatfish (BSAI)","2004",.373
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Sablefish","2004",.722
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Sablefish","2004",.722
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Sablefish","2004",.722
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Northern Rockfish","2004",.737
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Northern Rockfish","2004",.737
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Northern Rockfish","2004",-9999
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2004",1.686
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Sablefish","2004",1.407
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Sablefish","2004",1.815
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Sablefish","2004",1.827
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Sablefish","2004",1.827
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Sablefish","2004",1.827
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Rock Sole (BSAI)","2004",.037
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Rock Sole (BSAI)","2004",.053
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Rock Sole (BSAI)","2004",.015
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2004",.087
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Northern Rockfish","2004",.087
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Northern Rockfish","2004",.087
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Rock Sole (BSAI)","2004",.24
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Rock Sole (BSAI)","2004",.24
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Rock Sole (BSAI)","2004",.24
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Pollock","2004",.097
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Pollock","2004",.089
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Pollock","2004",.107
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2004",.24
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Rock Sole (BSAI)","2004",.24
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Rock Sole (BSAI)","2004",.24
"Gulf of Alaska","Fixed","All Sectors","Shallow-Water Flatfish (GOA)","2004",.179
"Gulf of Alaska","Trawl","All Sectors","Shallow-Water Flatfish (GOA)","2004",.131
"Gulf of Alaska","All Gear","All Sectors","Northern Rockfish","2004",.063
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2004",.254
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Pacific Cod","2004",.264
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Pacific Cod","2004",.226
"Gulf of Alaska","Trawl","All Sectors","Deep-Water Flatfish (GOA)","2004",.107
"Gulf of Alaska","All Gear","All Sectors","Dusky Rockfish","2004",.069
"Gulf of Alaska","Fixed","All Sectors","Dusky Rockfish","2004",.277
"Gulf of Alaska","Trawl","All Sectors","Dusky Rockfish","2004",.064
"Gulf of Alaska","All Gear","All Sectors","Flathead Sole","2004",.097
"Gulf of Alaska","Trawl","All Sectors","Atka Mackerel","2004",.129
"Gulf of Alaska","All Gear","All Sectors","Deep-Water Flatfish (GOA)","2004",.107
"Gulf of Alaska","Fixed","All Sectors","Deep-Water Flatfish (GOA)","2004",.179
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2004",.122
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Arrowtooth Flounder","2004",.123
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Arrowtooth Flounder","2004",.096
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Arrowtooth Flounder","2004",.049
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Arrowtooth Flounder","2004",.053
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Arrowtooth Flounder","2004",.015
"Gulf of Alaska","Fixed","All Sectors","Arrowtooth Flounder","2004",.175
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Other Rockfish","2004",.737
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Other Rockfish","2004",.737
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Other Rockfish","2004",.735
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Other Rockfish","2004",.35
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Other Rockfish","2004",.353
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Other Rockfish","2004",.11
"Gulf of Alaska","Trawl","All Sectors","Arrowtooth Flounder","2004",.054
"Gulf of Alaska","All Gear","All Sectors","Atka Mackerel","2004",.129
"Gulf of Alaska","Fixed","All Sectors","Atka Mackerel","2004",.016
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Yellowfin Sole (BSAI)","2004",.053
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Yellowfin Sole (BSAI)","2004",.053
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Yellowfin Sole (BSAI)","2004",-9999
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Yellowfin Sole (BSAI)","2004",.124
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Yellowfin Sole (BSAI)","2004",.124
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Yellowfin Sole (BSAI)","2004",.124
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2004",.462
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Other Rockfish","2004",.442
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Other Rockfish","2004",.667
"Gulf of Alaska","All Gear","All Sectors","Arrowtooth Flounder","2004",.055
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Other Groundfish","2004",.599
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Other Groundfish","2004",.599
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Other Groundfish","2004",.599
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2004",.124
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Yellowfin Sole (BSAI)","2004",.124
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Yellowfin Sole (BSAI)","2004",.124
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Other Groundfish","2004",.064
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Other Groundfish","2004",.064
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Other Groundfish","2004",.064
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Turbot (BSAI)","2004",.054
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Turbot (BSAI)","2004",.053
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Turbot (BSAI)","2004",.12
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Turbot (BSAI)","2004",.256
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Turbot (BSAI)","2004",.256
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Turbot (BSAI)","2004",.256
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2004",.418
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Other Groundfish","2004",.449
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Other Groundfish","2004",.223
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Other Flatfish (BSAI)","2004",.053
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Other Flatfish (BSAI)","2004",.053
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Other Flatfish (BSAI)","2004",-9999
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2004",.101
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Turbot (BSAI)","2004",.101
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Turbot (BSAI)","2004",.131
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Other Flatfish (BSAI)","2004",.287
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Other Flatfish (BSAI)","2004",.282
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Flathead Sole","2004",.19
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Flathead Sole","2004",.19
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Flathead Sole","2004",.19
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Pollock","2004",.029
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Pollock","2004",.029
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Pollock","2004",.029
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2004",.097
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Pollock","2004",.089
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Pollock","2004",.107
"Gulf of Alaska","All Gear","All Sectors","Rex Sole (GOA)","2004",.105
"Gulf of Alaska","Fixed","All Sectors","Rex Sole (GOA)","2004",-9999
"Gulf of Alaska","Trawl","All Sectors","Rex Sole (GOA)","2004",.105
"Gulf of Alaska","All Gear","All Sectors","Sablefish","2004",2.092
"Gulf of Alaska","Fixed","All Sectors","Sablefish","2004",2.123
"Gulf of Alaska","Trawl","All Sectors","Sablefish","2004",1.691
"Gulf of Alaska","All Gear","All Sectors","Shallow-Water Flatfish (GOA)","2004",.131
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Flathead Sole","2004",.053
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Flathead Sole","2004",.053
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Flathead Sole","2004",-9999
"Gulf of Alaska","All Gear","All Sectors","Pollock","2004",.101
"Gulf of Alaska","Fixed","All Sectors","Pollock","2004",.06
"Gulf of Alaska","Trawl","All Sectors","Pollock","2004",.101
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2004",.19
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Flathead Sole","2004",.19
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Flathead Sole","2004",.19
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Pacific Ocean Perch","2004",.143
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Pacific Ocean Perch","2004",.143
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Pacific Ocean Perch","2004",.143
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Atka Mackerel","2004",.115
