"license_type","license","year","value"
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2005,NA
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2005,259
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2005,90
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2005,526
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2005,77
"Limited Entry & Restricted Access","Finfish Trap Permit",2005,NA
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2005,172
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2005,289
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2005,97
"Limited Entry & Restricted Access","Herring Stamp",2005,346
"Limited Entry & Restricted Access","Herring Round Haul Permit",2005,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2005,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2005,4
"Limited Entry & Restricted Access","Lobster Operator Permit",2005,220
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2005,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2005,14
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2005,0
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2005,61
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2005,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2005,8
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2005,75
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2005,14
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2005,3
"Limited Entry & Restricted Access","Nearshore Permit",2005,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2005,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2005,NA
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2005,23
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2005,35
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2005,27
"Registration","Comm Fishing License (R)",2006,5683
"Registration","Comm Fishing License (NR)",2006,677
"Registration","Comm Fishing - Crewmember (R)",2006,NA
"Registration","Comm Fishing - Operator (R)",2006,NA
"Registration","Comm Fishing - Crewmember Upgrade (R)",2006,NA
"Registration","Comm Boat Registration (R)",2006,3062
"Registration","Comm Boat Registration (NR)",2006,288
"Registration","Comm Passenger Fishing Vessel",2006,445
"Registration","Comm Passenger Fishing Vessel W/Salmon",2006,NA
"Registration","Comm Aircraft Registration",2006,6
"Registration","Comm Salmon Stamp",2006,1557
"Registration","John Doe Salmon Stamp",2006,172
"Registration","Junior Comm Fish License",2006,NA
"Registration","Junior Comm Salmon Stamp",2006,NA
"Registration","Comm Ocean Enhancement Stamp",2006,794
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2006,62
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2006,249
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2006,88
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2006,518
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2006,84
"Limited Entry & Restricted Access","Finfish Trap Permit",2006,NA
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2006,166
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2006,254
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2006,60
"Limited Entry & Restricted Access","Herring Stamp",2006,274
"Limited Entry & Restricted Access","Herring Round Haul Permit",2006,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2006,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2006,5
"Limited Entry & Restricted Access","Lobster Operator Permit",2006,214
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2006,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2006,16
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2006,0
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2006,59
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2006,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2006,3
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2006,74
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2006,12
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2006,3
"Limited Entry & Restricted Access","Nearshore Permit",2006,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2006,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2006,NA
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2006,22
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2006,33
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2006,27
"Registration","Comm Fishing License (R)",2007,5781
"Registration","Comm Fishing License (NR)",2007,684
"Registration","Comm Fishing - Crewmember (R)",2007,NA
"Registration","Comm Fishing - Operator (R)",2007,NA
"Registration","Comm Fishing - Crewmember Upgrade (R)",2007,NA
"Registration","Comm Boat Registration (R)",2007,3003
"Registration","Comm Boat Registration (NR)",2007,291
"Registration","Comm Passenger Fishing Vessel",2007,450
"Registration","Comm Passenger Fishing Vessel W/Salmon",2007,NA
"Registration","Comm Aircraft Registration",2007,7
"Registration","Comm Salmon Stamp",2007,2174
"Registration","John Doe Salmon Stamp",2007,795
"Registration","Junior Comm Fish License",2007,NA
"Registration","Junior Comm Salmon Stamp",2007,NA
"Registration","Comm Ocean Enhancement Stamp",2007,788
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2007,59
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2007,239
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2007,86
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2007,505
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2007,87
"Limited Entry & Restricted Access","Finfish Trap Permit",2007,NA
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2007,160
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2007,211
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2007,46
"Limited Entry & Restricted Access","Herring Stamp",2007,220
"Limited Entry & Restricted Access","Herring Round Haul Permit",2007,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2007,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2007,3
"Limited Entry & Restricted Access","Lobster Operator Permit",2007,212
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2007,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2007,20
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2007,0
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2007,55
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2007,3
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2007,3
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2007,74
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2007,12
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2007,2
"Limited Entry & Restricted Access","Nearshore Permit",2007,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2007,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2007,NA
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2007,20
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2007,29
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2007,26
"Registration","Comm Fishing License (R)",2008,5348
"Registration","Comm Fishing License (NR)",2008,664
"Registration","Comm Fishing - Crewmember (R)",2008,NA
"Registration","Comm Fishing - Operator (R)",2008,NA
"Registration","Comm Fishing - Crewmember Upgrade (R)",2008,NA
"Registration","Comm Boat Registration (R)",2008,2916
"Registration","Comm Boat Registration (NR)",2008,301
"Registration","Comm Passenger Fishing Vessel",2008,431
"Registration","Comm Passenger Fishing Vessel W/Salmon",2008,NA
"Registration","Comm Aircraft Registration",2008,9
"Registration","Comm Salmon Stamp",2008,1308
"Registration","John Doe Salmon Stamp",2008,102
"Registration","Junior Comm Fish License",2008,NA
"Registration","Junior Comm Salmon Stamp",2008,NA
"Registration","Comm Ocean Enhancement Stamp",2008,793
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2008,52
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2008,231
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2008,84
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2008,508
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2008,81
"Limited Entry & Restricted Access","Finfish Trap Permit",2008,NA
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2008,154
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2008,200
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2008,45
"Limited Entry & Restricted Access","Herring Stamp",2008,210
"Limited Entry & Restricted Access","Herring Round Haul Permit",2008,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2008,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2008,3
"Limited Entry & Restricted Access","Lobster Operator Permit",2008,204
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2008,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2008,21
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2008,0
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2008,54
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2008,3
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2008,2
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2008,77
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2008,11
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2008,0
"Limited Entry & Restricted Access","Nearshore Permit",2008,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2008,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2008,NA
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2008,19
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2008,29
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2008,26
"Registration","Comm Fishing License (R)",2009,5467
"Registration","Comm Fishing License (NR)",2009,682
"Registration","Comm Fishing - Crewmember (R)",2009,NA
"Registration","Comm Fishing - Operator (R)",2009,NA
"Registration","Comm Fishing - Crewmember Upgrade (R)",2009,NA
"Registration","Comm Boat Registration (R)",2009,2873
"Registration","Comm Boat Registration (NR)",2009,289
"Registration","Comm Passenger Fishing Vessel",2009,434
"Registration","Comm Passenger Fishing Vessel W/Salmon",2009,NA
"Registration","Comm Aircraft Registration",2009,8
"Registration","Comm Salmon Stamp",2009,1244
"Registration","John Doe Salmon Stamp",2009,33
"Registration","Junior Comm Fish License",2009,NA
"Registration","Junior Comm Salmon Stamp",2009,NA
"Registration","Comm Ocean Enhancement Stamp",2009,795
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2009,51
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2009,220
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2009,84
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2009,502
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2009,79
"Limited Entry & Restricted Access","Finfish Trap Permit",2009,NA
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2009,150
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2009,189
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2009,42
"Limited Entry & Restricted Access","Herring Stamp",2009,201
"Limited Entry & Restricted Access","Herring Round Haul Permit",2009,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2009,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2009,4
"Limited Entry & Restricted Access","Lobster Operator Permit",2009,203
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2009,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2009,21
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2009,0
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2009,54
