"year","filename","port","category","species","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
2004,"13.pdf","Depoe Bay","Fish:","Rockfish, yellowtail","0","0","2","0","44","0","0","0","0","0","0","0","46"
2004,"13.pdf","Depoe Bay","Fish:","Rockfish, nearshore","0","0","3","0","10","12","0","5","0","0","0","0","30"
2004,"13.pdf","Depoe Bay","Fish:","Thornyhead, shortspine","0","0","0","0","0","2","0","0","0","0","0","0","2"
2004,"13.pdf","Depoe Bay","Fish:","Sablefish","0","0","0","0","0","0","0","45","0","0","0","0","45"
2004,"13.pdf","Depoe Bay","Fish:","Salmon, Chinook","0","0","270","246","2701","1067","223","960","218","382","0","0","6067"
2004,"13.pdf","Depoe Bay","Fish:","Shark, blue","0","0","0","0","0","0","0","34","59","0","0","0","93"
2004,"13.pdf","Depoe Bay","Fish:","Tuna, albacore","0","0","0","0","0","0","5703","2657","3522","63","0","0","11945"
2004,"13.pdf","Depoe Bay","Crustaceans:","Crab, Dungeness (ocean)","27251","10732","5945","3942","3229","1972","968","334","0","0","0","53616","107989"
2004,"13.pdf","Depoe Bay","Mollusks:","Octopus","81","0","0","20","0","0","0","0","0","0","0","0","101"
2004,"13.pdf","Depoe Bay","Other invertebrates:","Sea urchin, red","0","0","0","4109","23632","7048","12713","31824","0","2507","0","0","81833"
2004,"13.pdf","Depoe Bay","Other invertebrates:","Total","27383","10732","6387","8523","30487","10757","19840","36240","3943","3248","0","53616","211156"
2004,"14.pdf","Newport","Fish:","Cabezon","0","0","0","0","20","0","0","0","12","0","0","0","32"
2004,"14.pdf","Newport","Fish:","Cod, Pacific","0","0","0","0","52","2","16825","7280","1416","0","0","0","25575"
2004,"14.pdf","Newport","Fish:","Flounder, arrowtooth","10440","28833","26252","40778","36639","23437","14755","21630","28921","21770","13326","4594","271375"
2004,"14.pdf","Newport","Fish:","Flounder, starry","0","0","0","0","0","0","13","0","2980","0","0","0","2993"
2004,"14.pdf","Newport","Fish:","Greenling, unspecified","0","0","0","0","4","0","0","0","0","0","0","0","4"
2004,"14.pdf","Newport","Fish:","Grenadier","0","2366","1918","2944","0","266","0","0","1866","0","110","0","9470"
2004,"14.pdf","Newport","Fish:","Halibut, Pacific","0","0","0","0","5136","70994","61223","10035","0","0","0","0","147388"
2004,"14.pdf","Newport","Fish:","Herring, Pacific","0","778","0","0","0","5279","66870","1082","0","0","0","0","74009"
2004,"14.pdf","Newport","Fish:","Lingcod","0","0","0","0","1984","3941","9075","1775","3479","456","8","0","20718"
2004,"14.pdf","Newport","Fish:","Mackerel, jack","0","0","0","0","0","2217","85631","91410","0","0","0","0","179258"
2004,"14.pdf","Newport","Fish:","Mackerel, Pacific","0","0","0","0","0","0","1373","373","0","0","0","0","1746"
2004,"14.pdf","Newport","Fish:","Ratfish","0","0","0","0","0","0","4","4","0","0","0","0","8"
2004,"14.pdf","Newport","Fish:","Pacific ocean perch","1246","5903","4220","4258","7546","7424","300","8948","5214","8159","4551","929","58698"
2004,"14.pdf","Newport","Fish:","Rockfish, black","0","0","710","575","2922","1849","1740","36","1375","0","0","0","9207"
2004,"14.pdf","Newport","Fish:","Rockfish, canary","0","0","0","0","0","121","400","236","29","0","0","0","786"
2004,"14.pdf","Newport","Fish:","Rockfish, darkblotched","4926","6956","5704","10743","24826","15097","1416","10172","12236","0","0","0","92076"
2004,"14.pdf","Newport","Fish:","Rockfish, shortbelly","0","0","0","0","0","0","0","10","0","0","0","0","10"
2004,"14.pdf","Newport","Fish:","Rockfish, widow","0","0","8","48","0","1379","7514","3207","612","0","0","0","12768"
2004,"14.pdf","Newport","Fish:","Rockfish, yelloweye","0","0","0","0","6","0","18","0","0","0","0","0","24"
2004,"14.pdf","Newport","Fish:","Rockfish, yellowtail","0","0","278","763","2382","1657","1236","2199","332","11","0","0","8858"
2004,"14.pdf","Newport","Fish:","Rockfish, nearshore","0","0","0","0","5","0","6","0","0","0","0","0","11"
2004,"14.pdf","Newport","Fish:","Rockfish, shelf","0","0","70","86","0","640","1013","87","80","0","0","0","1976"
2004,"14.pdf","Newport","Fish:","Rockfish, slope","1568","6102","2626","7716","12269","8156","3697","11432","9320","5058","5284","1179","74407"
2004,"14.pdf","Newport","Fish:","Thornyhead, longspine","0","22340","23060","2956","4308","636","48","532","3198","8548","26340","339","92305"
2004,"14.pdf","Newport","Fish:","Thornyhead, shortspine","2740","12852","24821","31644","24902","14965","4874","17327","27790","38998","53867","11300","266080"
2004,"14.pdf","Newport","Fish:","Sablefish","21164","45582","68230","79403","184486","485037","450734","351774","237712","206005","167893","62302","2360322"
2004,"14.pdf","Newport","Fish:","Salmon, Chinook","0","0","139349","124487","340386","111146","111400","312396","146506","13442","0","0","1299112"
2004,"14.pdf","Newport","Fish:","Salmon, chum","0","0","0","0","18","0","25","16","0","0","0","0","59"
2004,"14.pdf","Newport","Fish:","Salmon, pink","0","0","0","0","6","0","0","0","0","0","0","0","6"
2004,"14.pdf","Newport","Fish:","Sanddab, Pacific","0","0","0","0","0","0","1701","1","3640","0","0","0","5342"
2004,"14.pdf","Newport","Fish:","Sardine, Pacific","0","0","0","0","0","125","155","36","0","0","0","0","316"
2004,"14.pdf","Newport","Fish:","Sculpin, other species","0","0","0","0","0","0","3","0","0","0","0","0","3"
2004,"14.pdf","Newport","Fish:","Shad, american","0","0","0","0","0","991","5117","164","0","0","0","0","6272"
2004,"14.pdf","Newport","Fish:","Shark, blue","0","0","0","0","0","170","571","75","0","0","0","0","816"
2004,"14.pdf","Newport","Fish:","Shark, shortfin mako","0","0","0","0","0","0","0","118","0","0","0","0","118"
2004,"14.pdf","Newport","Fish:","Shark, soupfin","0","0","0","0","0","0","254","0","0","0","0","0","254"
2004,"14.pdf","Newport","Fish:","Shark, spiny dogfish","0","0","0","0","0","7666","271","1210","0","0","0","0","9147"
2004,"14.pdf","Newport","Fish:","Shark, other species","0","0","192","0","0","0","86","0","0","0","0","0","278"
2004,"14.pdf","Newport","Fish:","Skates and rays","10102","30163","18228","24681","21584","6025","55633","47531","57760","17206","11235","6084","306232"
2004,"14.pdf","Newport","Fish:","Smelt, other species","0","0","0","0","0","0","0","0","5","0","0","0","5"
2004,"14.pdf","Newport","Fish:","Sole, curlfin (turbot)","0","0","0","0","0","0","90","0","628","0","0","0","718"
2004,"14.pdf","Newport","Fish:","Sole, dover","42142","192660","306122","175518","150006","58844","11536","90080","110185","127202","194231","56485","1515011"
2004,"14.pdf","Newport","Fish:","Sole, english","0","6086","1430","6200","4787","92","8070","7885","22203","0","0","1408","58161"
2004,"14.pdf","Newport","Fish:","Sole, petrale","44274","39993","1052","730","5403","88","118593","35843","8725","498","700","2710","258609"
2004,"14.pdf","Newport","Fish:","Sole, rex","2150","8531","9020","9108","10053","4997","977","6395","4796","6584","6843","2005","71459"
2004,"14.pdf","Newport","Fish:","Sole, rock","0","0","0","0","0","0","194","386","779","0","0","0","1359"
2004,"14.pdf","Newport","Fish:","Sole, sand","0","0","0","0","0","14","447","70","21205","0","0","0","21736"
2004,"14.pdf","Newport","Fish:","Sturgeon, green","0","0","0","0","0","0","0","0","193","0","0","0","193"
2004,"14.pdf","Newport","Fish:","Tuna, bluefin","0","0","0","0","0","0","14","20","18","0","0","0","52"
2004,"14.pdf","Newport","Fish:","Tuna, albacore","0","0","0","0","0","197791","1810760","1143696","944160","788458","0","0","4884865"
2004,"14.pdf","Newport","Fish:","Whiting, Pacific (hake)","0","0","0","10066","0","19202763","44825164","21629732","0","0","0","0","85667725"
2004,"14.pdf","Newport","Fish:","Wolfeel","0","0","0","10","0","20","0","0","0","0","0","0","30"
2004,"14.pdf","Newport","Crustaceans:","Crab, Dungeness (bay)","0","0","0","0","0","0","0","0","0","2206","1064","0","3270"
2004,"14.pdf","Newport","Crustaceans:","Crab, Dungeness (ocean)","1079950","319323","208278","170938","70015","16117","6886","3640","0","0","0","6000360","7875507"
2004,"14.pdf","Newport","Crustaceans:","Crab, rock","193","195","347","311","261","340","986","483","696","544","0","0","4356"
2004,"14.pdf","Newport","Crustaceans:","Shrimp, pink","0","0","0","1434434","1401199","1121247","534159","536697","343318","100023","0","0","5471077"
2004,"14.pdf","Newport","Mollusks:","Mussels, ocean","0","0","0","125","0","0","150","300","0","0","0","0","575"
2004,"14.pdf","Newport","Mollusks:","Octopus","75","170","0","65","122","12","0","0","126","0","0","119","689"
2004,"14.pdf","Newport","Mollusks:","Squid, market","0","0","0","0","642","1156","421","0","0","0","0","618","2837"
2004,"14.pdf","Newport","Other invertebrates:","Sea stars","40","4","44","0","60","0","0","0","0","0","0","0","148"
2004,"15.pdf","Waldport","Crustaceans:","Crab, Dungeness (bay)","0","0","0","0","0","0","0","0","67","2299","3023","75","5464"
2004,"15.pdf","Waldport","Crustaceans:","Shrimp, ghost","1627","2559","3485","3325","5884","4424","3299","2627","4413","5049","3307","2583","42582"
2004,"15.pdf","Waldport","Crustaceans:","Total","1627","2559","3485","3325","5884","4424","3299","2627","4480","7348","6330","2658","48046"
2004,"15A.pdf","Yachats","Crustaceans:","Total","0","0","0","0","0","0","0","0","0","0","0","0","0"
2004,"16.pdf","Florence","Crustaceans:","Flounder, starry","0","0","0","0","0","25","0","0","0","0","0","0","25"
2004,"16.pdf","Florence","Crustaceans:","Halibut, Pacific","0","0","0","0","0","785","265","0","0","0","0","0","1050"
2004,"16.pdf","Florence","Crustaceans:","Lingcod","0","0","0","0","105","54","0","0","0","0","0","0","159"
2004,"16.pdf","Florence","Crustaceans:","Rockfish, yellowtail","0","0","0","112","156","468","0","0","0","0","0","0","736"
2004,"16.pdf","Florence","Crustaceans:","Salmon, Chinook","0","0","2200","8178","6580","3400","84","2017","383","0","0","0","22842"
2004,"16.pdf","Florence","Crustaceans:","Sanddab, Pacific","0","0","0","0","5285","19857","0","0","0","0","0","0","25142"
2004,"16.pdf","Florence","Crustaceans:","Sole, dover","0","0","0","0","79","716","0","0","0","0","0","0","795"
2004,"16.pdf","Florence","Crustaceans:","Sole, english","0","0","0","0","0","505","0","0","0","0","0","0","505"
2004,"16.pdf","Florence","Crustaceans:","Sole, petrale","0","0","0","0","1864","2781","0","0","0","0","0","0","4645"
2004,"16.pdf","Florence","Crustaceans:","Sole, rex","0","0","0","0","0","85","0","0","0","0","0","0","85"
2004,"16.pdf","Florence","Crustaceans:","Sole, sand","0","0","0","0","0","225","0","0","0","0","0","0","225"
2004,"16.pdf","Florence","Crustaceans:","Tuna, albacore","0","0","0","0","0","2595","8527","16088","15235","8913","0","0","51358"
2004,"16.pdf","Florence","Crustaceans:","Crab, Dungeness (bay)","0","0","0","0","0","0","0","0","0","197","0","0","197"
2004,"16.pdf","Florence","Crustaceans:","Crab, Dungeness (ocean)","5003","17311","46108","15555","7011","5244","3024","906","0","0","0","344","100506"
2004,"16.pdf","Florence","Crustaceans:","Total","5003","17311","48308","23845","21080","36740","11900","19011","15618","9110","0","344","208270"
2004,"17.pdf","Winchester Bay","Fish:","Anchovy, northern","0","0","0","0","1800","9100","5700","2800","0","0","0","0","19400"
2004,"17.pdf","Winchester Bay","Fish:","Halibut, Pacific","0","0","0","0","90","4236","3732","595","0","0","0","0","8653"
2004,"17.pdf","Winchester Bay","Fish:","Herring, Pacific","0","0","0","0","0","400","100","150","0","0","0","0","650"
2004,"17.pdf","Winchester Bay","Fish:","Rockfish, black","0","0","0","0","6","0","0","0","0","0","0","0","6"
2004,"17.pdf","Winchester Bay","Fish:","Rockfish, widow","0","0","0","0","0","35","0","0","0","0","0","0","35"
2004,"17.pdf","Winchester Bay","Fish:","Rockfish, yellowtail","0","0","0","0","0","0","0","74","0","0","0","0","74"
2004,"17.pdf","Winchester Bay","Fish:","Rockfish, nearshore","0","0","0","0","6","84","0","0","0","0","0","0","90"
2004,"17.pdf","Winchester Bay","Fish:","Sablefish","0","0","0","0","0","646","401","821","0","0","0","0","1868"
2004,"17.pdf","Winchester Bay","Fish:","Salmon, Chinook","0","0","3489","19455","17380","17834","3520","22959","7186","249","0","0","92072"
2004,"17.pdf","Winchester Bay","Fish:","Sardine, Pacific","0","0","0","0","1700","2300","5400","3100","6900","0","0","0","19400"
2004,"17.pdf","Winchester Bay","Fish:","Shad, american","0","0","0","0","472","661","0","0","0","0","0","0","1133"
2004,"17.pdf","Winchester Bay","Fish:","Tuna, albacore","0","0","0","0","0","11927","16721","33894","30777","5511","0","0","98830"
2004,"17.pdf","Winchester Bay","Fish:","Wolfeel","0","0","0","6","0","0","0","0","0","0","0","0","6"
2004,"17.pdf","Winchester Bay","Crustaceans:","Crab, Dungeness (bay)","0","0","0","0","0","0","0","0","0","466","2382","404","3252"
2004,"17.pdf","Winchester Bay","Crustaceans:","Crab, Dungeness (ocean)","154993","62977","55125","18453","5679","2713","6049","900","0","0","0","153425","460314"
2004,"17.pdf","Winchester Bay","Crustaceans:","Shrimp, ghost","0","0","117","173","322","163","104","45","51","0","0","0","975"
2004,"17.pdf","Winchester Bay","Crustaceans:","Total","154993","62977","58731","38087","27455","50099","41727","65338","44914","6226","2382","153829","706758"
2004,"18.pdf","Charleston","Fish:","Cabezon","0","0","0","0","0","0","0","22","0","0","0","0","22"
2004,"18.pdf","Charleston","Fish:","Cod, Pacific","11","11","0","0","91","211","237","11145","68","0","0","0","11774"
2004,"18.pdf","Charleston","Fish:","Flounder, arrowtooth","23361","21453","23930","6523","29863","33232","35207","25830","26219","14604","24431","27676","292329"
2004,"18.pdf","Charleston","Fish:","Flounder, starry","0","0","6","0","6","41","7","617","51","0","0","0","728"
2004,"18.pdf","Charleston","Fish:","Grenadier","455","1548","18105","12493","2525","4145","8646","0","8165","10944","3024","2737","72787"
2004,"18.pdf","Charleston","Fish:","Hagfish, unspecified","25198","7033","28140","16698","25177","21958","0","16357","38669","44665","33796","25794","283485"
2004,"18.pdf","Charleston","Fish:","Halibut, Pacific","0","0","0","0","354","22066","60971","2355","0","0","0","0","85746"
2004,"18.pdf","Charleston","Fish:","Lingcod","17","76","0","5","1382","2502","1360","4184","5441","865","0","189","16021"
2004,"18.pdf","Charleston","Fish:","Mackerel, jack","0","0","0","0","0","0","9061","8753","0","0","0","0","17814"
2004,"18.pdf","Charleston","Fish:","Mackerel, Pacific","0","0","0","0","0","0","0","96","97","0","0","0","193"
2004,"18.pdf","Charleston","Fish:","Pacific ocean perch","29","372","0","527","1258","708","1814","1064","2097","0","9","15","7893"
2004,"18.pdf","Charleston","Fish:","Rockfish, black","0","0","149","3","50","40","304","50","0","0","0","0","596"
2004,"18.pdf","Charleston","Fish:","Rockfish, canary","6","5","0","16","21","537","670","214","116","0","0","0","1585"
2004,"18.pdf","Charleston","Fish:","Rockfish, darkblotched","4106","9917","3368","933","9037","10303","23157","13892","32350","0","0","0","107063"
2004,"18.pdf","Charleston","Fish:","Rockfish, shortbelly","0","0","0","0","0","0","2","2","0","0","0","0","4"
2004,"18.pdf","Charleston","Fish:","Rockfish, vermillion","0","0","0","0","0","9","0","0","0","0","0","0","9"
2004,"18.pdf","Charleston","Fish:","Rockfish, widow","0","0","0","0","21","196","211","88","0","0","0","0","516"
2004,"18.pdf","Charleston","Fish:","Rockfish, yelloweye","0","0","0","0","0","0","944","0","10","0","0","0","954"
2004,"18.pdf","Charleston","Fish:","Rockfish, yellowtail","0","0","332","595","2379","1868","403","192","136","121","0","0","6026"
2004,"18.pdf","Charleston","Fish:","Rockfish, nearshore","0","0","0","0","0","5","353","6","0","0","0","0","364"
2004,"18.pdf","Charleston","Fish:","Rockfish, shelf","0","3","4","0","480","79","71","909","390","0","0","0","1936"
2004,"18.pdf","Charleston","Fish:","Rockfish, slope","32","328","8","509","1856","1404","6324","2906","2803","1102","475","446","18193"
2004,"18.pdf","Charleston","Fish:","Thornyhead, longspine","711","12945","31392","22082","8399","32904","59256","5218","7068","73267","33932","17883","305057"
2004,"18.pdf","Charleston","Fish:","Thornyhead, shortspine","3112","4282","9097","10052","6657","18745","21623","9868","11619","36983","34384","3687","170109"
2004,"18.pdf","Charleston","Fish:","Sablefish","42303","12723","38860","87004","148961","91439","164549","116624","110926","192223","106452","43730","1155794"
2004,"18.pdf","Charleston","Fish:","Salmon, Chinook","0","0","104298","160414","85559","149162","51265","563911","83451","71366","933","0","1270359"
2004,"18.pdf","Charleston","Fish:","Sanddab, Pacific","0","0","0","0","6398","700","5306","66158","3994","0","0","0","82556"
2004,"18.pdf","Charleston","Fish:","Shad, american","0","0","0","0","0","0","0","10","0","0","0","0","10"
2004,"18.pdf","Charleston","Fish:","Shark, spiny dogfish","0","0","0","0","0","16","11","0","0","0","0","0","27"
2004,"18.pdf","Charleston","Fish:","Skates and rays","28535","24202","11098","18944","28510","19938","40820","52098","67975","11384","10266","8400","322170"
2004,"18.pdf","Charleston","Fish:","Sole, curlfin (turbot)","0","0","0","0","0","0","174","881","44","0","0","0","1099"
2004,"18.pdf","Charleston","Fish:","Sole, dover","218714","153129","280722","249569","90492","113937","184213","110612","158671","282749","317121","69181","2229110"
2004,"18.pdf","Charleston","Fish:","Sole, english","36161","33517","6748","11142","9713","13822","19184","25319","41719","57","198","1279","198859"
2004,"18.pdf","Charleston","Fish:","Sole, petrale","163376","96314","5741","10107","22818","3843","27851","58750","46106","678","3324","28992","467900"
2004,"18.pdf","Charleston","Fish:","Sole, rex","20501","15763","10137","11999","21230","20834","34647","15908","26142","28292","23280","6810","235543"
2004,"18.pdf","Charleston","Fish:","Sole, rock","0","0","0","0","265","938","262","1223","90","0","0","0","2778"
2004,"18.pdf","Charleston","Fish:","Sole, sand","0","2284","1067","23","882","2268","1955","9022","1657","0","0","0","19158"
2004,"18.pdf","Charleston","Fish:","Sturgeon, green","0","0","40","0","0","35","28","0","0","0","0","0","103"
2004,"18.pdf","Charleston","Fish:","Tuna, albacore","0","0","0","0","526","195879","830742","1087491","855621","330301","0","0","3300560"
2004,"18.pdf","Charleston","Fish:","Whiting, Pacific (hake)","0","0","6160","438","0","2123049","5032227","2187952","0","0","0","0","9349826"
2004,"18.pdf","Charleston","Fish:","Wolfeel","0","0","10","16","46","64","9","0","6","0","0","0","151"
2004,"18.pdf","Charleston","Fish:","Wrymouth, giant","0","0","0","0","0","0","11","0","0","0","0","0","11"
2004,"18.pdf","Charleston","Crustaceans:","Crab, Dungeness (bay)","0","0","0","0","0","0","0","0","0","2696","5121","1102","8919"
2004,"18.pdf","Charleston","Crustaceans:","Crab, Dungeness (ocean)","2224072","1111326","438772","354588","157479","37531","16227","4452","0","583","3204","4467974","8816208"
2004,"18.pdf","Charleston","Crustaceans:","Shrimp, ghost","208","290","326","236","592","437","268","257","363","412","300","160","3849"
2004,"18.pdf","Charleston","Crustaceans:","Shrimp, pink","0","0","0","264860","227158","118927","44427","25637","211628","56393","0","0","949030"
2004,"18.pdf","Charleston","Crustaceans:","Abalone, flat","0","0","0","0","150","116","0","22","0","0","0","0","288"
2004,"18.pdf","Charleston","Crustaceans:","Clam, butter","0","0","0","10","435","0","0","0","10","131","27","0","613"
2004,"18.pdf","Charleston","Crustaceans:","Clam, cockle","2061","326","1895","3590","3279","67","0","0","923","4636","5512","1980","24269"
2004,"18.pdf","Charleston","Crustaceans:","Clam, gaper","0","0","0","2","223","0","0","0","248","893","2316","6914","10596"
2004,"18.pdf","Charleston","Crustaceans:","Clam, littleneck","0","0","0","0","0","0","0","0","2","32","5","0","39"
2004,"18.pdf","Charleston","Crustaceans:","Clam, softshell","0","0","0","0","0","0","0","0","0","9","20","0","29"
2004,"18.pdf","Charleston","Crustaceans:","Octopus","227","368","155","127","71","0","35","140","22","0","0","145","1290"
2004,"18.pdf","Charleston","Crustaceans:","Snails & chitons","0","0","0","0","0","0","0","0","1","0","0","0","1"
2004,"18.pdf","Charleston","Crustaceans:","Squid, market","113","0","0","0","0","0","0","841","749","867","5244","692","8506"
2004,"18.pdf","Charleston","Other invertebrates:","Sea urchin, red","0","0","0","12652","57290","4201","0","7226","0","9079","0","0","90448"
2004,"19.pdf","Bandon","Fish:","Cabezon","0","0","0","0","0","0","0","0","8","0","0","0","8"
2004,"19.pdf","Bandon","Fish:","Halibut, Pacific","0","0","0","0","0","267","0","0","0","0","0","0","267"
2004,"19.pdf","Bandon","Fish:","Lingcod","0","0","0","0","0","83","0","18","15","0","0","0","116"
2004,"19.pdf","Bandon","Fish:","Rockfish, black","0","0","0","0","0","0","187","140","561","0","0","0","888"
2004,"19.pdf","Bandon","Fish:","Rockfish, yellowtail","0","0","0","0","0","18","2","0","1","0","0","0","21"
2004,"19.pdf","Bandon","Fish:","Rockfish, nearshore","0","0","0","0","0","0","0","3","0","0","0","0","3"
2004,"19.pdf","Bandon","Fish:","Sablefish","0","421","0","0","0","0","721","0","0","1541","0","0","2683"
2004,"19.pdf","Bandon","Fish:","Salmon, Chinook","0","0","0","93","1123","767","2604","6614","261","281","0","0","11743"
2004,"19.pdf","Bandon","Fish:","Tuna, albacore","0","0","0","0","0","0","0","0","2134","0","0","0","2134"
2004,"19.pdf","Bandon","Fish:","Total","0","421","0","93","1123","1135","3514","6775","2980","1822","0","0","17863"
2004,"20.pdf","Port Orford","Fish:","Anchovy, northern","0","0","0","0","0","0","7291","0","0","0","0","0","7291"
2004,"20.pdf","Port Orford","Fish:","Cabezon","803","1003","1320","2737","5837","3612","2642","4002","4978","255","0","0","27189"
2004,"20.pdf","Port Orford","Fish:","Flounder, arrowtooth","0","0","6","16","2","270","8","22","7","127","1","0","459"
2004,"20.pdf","Port Orford","Fish:","Greenling, unspecified","735","1063","1791","3230","3775","2484","2386","5448","7303","39","0","0","28254"
2004,"20.pdf","Port Orford","Fish:","Hagfish, unspecified","0","0","0","0","0","35273","42108","0","0","21053","8290","6243","112967"
2004,"20.pdf","Port Orford","Fish:","Halibut, Pacific","0","0","0","0","0","4561","1814","0","0","0","0","0","6375"
2004,"20.pdf","Port Orford","Fish:","Lingcod","0","0","0","0","6284","5687","3048","5095","5269","1085","0","0","26468"
2004,"20.pdf","Port Orford","Fish:","Pomfret, Pacific","0","0","0","0","0","0","0","11","8","3","0","0","22"
2004,"20.pdf","Port Orford","Fish:","Rockfish, black","1072","1442","5612","13656","14206","12313","9934","10289","14161","0","0","0","82685"
2004,"20.pdf","Port Orford","Fish:","Rockfish, blue","0","197","240","1372","600","665","928","884","719","2","0","0","5607"
2004,"20.pdf","Port Orford","Fish:","Rockfish, darkblotched","0","0","140","30","28","72","4","0","1","58","0","0","333"
2004,"20.pdf","Port Orford","Fish:","Rockfish, tiger","0","4","0","3","40","10","9","0","0","0","0","0","66"
2004,"20.pdf","Port Orford","Fish:","Rockfish, vermillion","31","47","60","117","585","390","178","305","441","4","0","0","2158"
2004,"20.pdf","Port Orford","Fish:","Rockfish, widow","0","0","0","50","89","58","2","0","7","0","0","0","206"
2004,"20.pdf","Port Orford","Fish:","Rockfish, yellowtail","0","0","9","91","715","378","10","47","28","0","0","0","1278"
2004,"20.pdf","Port Orford","Fish:","Rockfish, nearshore","323","386","638","717","2819","2589","1254","1457","1391","150","0","0","11724"
2004,"20.pdf","Port Orford","Fish:","Rockfish, shelf","0","0","0","0","0","44","2","2","41","3","0","0","92"
2004,"20.pdf","Port Orford","Fish:","Rockfish, slope","3","17","221","182","240","646","116","835","47","167","104","0","2578"
2004,"20.pdf","Port Orford","Fish:","Thornyhead, longspine","0","0","0","0","0","6","4","0","0","0","0","0","10"
2004,"20.pdf","Port Orford","Fish:","Thornyhead, shortspine","0","0","0","0","0","0","5","0","0","2","0","0","7"
2004,"20.pdf","Port Orford","Fish:","Sablefish","6703","4466","13111","10368","33401","51209","12073","28726","73228","66102","6973","1648","308008"
2004,"20.pdf","Port Orford","Fish:","Salmon, Chinook","0","0","268","998","8700","15073","9322","60381","655","18954","35125","1083","150559"
2004,"20.pdf","Port Orford","Fish:","Sculpin, other species","0","0","0","0","0","0","0","0","2","0","0","0","2"
2004,"20.pdf","Port Orford","Fish:","Shark, blue","0","0","0","0","8","13","0","42","0","0","0","0","63"
2004,"20.pdf","Port Orford","Fish:","Shark, shortfin mako","0","0","0","0","0","0","0","27","0","0","0","0","27"
2004,"20.pdf","Port Orford","Fish:","Shark, soupfin","0","0","0","0","0","0","0","0","0","0","8","0","8"
2004,"20.pdf","Port Orford","Fish:","Shark, spiny dogfish","0","0","0","0","0","0","0","0","0","0","865","0","865"
2004,"20.pdf","Port Orford","Fish:","Skates and rays","14","46","157","75","11","0","80","462","0","145","221","0","1211"
2004,"20.pdf","Port Orford","Fish:","Sole, dover","0","0","0","4","0","14","9","3","0","33","36","0","99"
