CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,SRC_ID_IND,FCLTY_NM,DESCRIPTN,ADDRESS,OTHER_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,AUTHORITY,OPERATOR,COMMODITY,STOR_CPCTY,DATA_SRCE,TYPE_USE,BERTH_DESC,SHAPE,SEQ_ID,X,Y
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,194,N,Cowichan Bay Docks,Terminal,"Cowichan Bay, BC","Box 131, 5105 Tzouhalem Rd, Duncan BC  V9L 6Y1",,V9L 6Y1,Cowichan Bay,,,,,,48.7484595,-123.6233665,Cowichan Bay; Terminal; Docks; Forest Products; Lumber,20200121073233,,Cowichan Bay Fisherman's Wharf Association,Westcan terminals Ltd.,lumber and other forest products,8 ha of paced area for assembly and storage of lumber,BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities,Forest Products,"Berth #1: (southern) length 155 m, depth 9.3 m; #2 (Northern) length198 m, depth 8.3 m",,423,-123.62336650611013,48.74845954120373
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,195,N,Musgrave (Saltspring Island),Port,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC",127 Fulford Ganges Rd,V8K 2T9,Salt Spring Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.749137999999995,-123.549533,Musgrave; Saltspring Island; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Harbour Authority of Saltspring Island,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing,wharf and floats,,509,-123.54953300610354,48.749138000394375
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,196,N,Fulford Harbour (Saltspring Island),Port,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC",127 Fulford Ganges Rd,V8K 2T9,Salt Spring Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc,,48.7688514,-123.4500608,Fulford Harbour; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Harbour Authority of Saltspring Island,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,wharf and floats,,325,-123.45006079722215,48.768851351165196
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,197,N,Burgoyne Bay (Saltspring Island),Port,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC",127 Fulford Ganges Rd,V8K 2T9,Salt Spring Island,,,,http://www.haa.bc.ca/harbour/burgoyne-bay-saltspring-island,,48.792815999999995,-123.521491,Burgoyne Bay; Salt Spring Island; Fishing; Port; Small Craft Harbour,20200121073233,,Salt Spring Island Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing ,floats,,271,-123.52149100412232,48.792815999288585
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,198,N,Bamfield East,Harbour,"Bamfield, BC","Box 101, Bamfield, BC  V0R 1B0",,V0R 1B0,Bamfield,,,,http://www.haa.bc.ca/harbour/bamfield,,48.8283027,-125.1371927,Bamfield East; Port; Bamfield Inlet; Fishing; Small Craft Harbour ,20200121073233,,Bamfield Harbour Authority,Bamfield Harbour Authority,recreational,"moorage, hydro, water, garbage, laundry, restroom facilities, pay phone, parking, light ",Harbour Association of British Columbia,Recreational,"wharf and floats, launch, plane float, derrick",,539,-125.13719269758049,48.82830268593005
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,199,N,Bamfield West,Port,"Bamfield, BC","Box 101, Bamfield, BC  V0R 1B0",,V0R 1B0,Bamfield,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.8289928,-125.1401556,Bamfield West; Port; Bamfield Inlet; Fishing; Small Craft Harbour; Marina,20200121073233,,Bamfield Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing ,wharf and floats,,527,-125.14015559836125,48.82899275022387
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,200,N,Lyall Harbour (Saturna Island),Harbour,"Saturna Island, BC","Saturna Island, BC",,,Saturna Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.7981295,-123.2010828,Lyall Harbour; Saturna Island; Recreational; Harbour; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,recreational,moorage,Department of Fisheries and Oceans Small Craft Harbours,Recreational,wharf and floats,,247,-123.20108280458095,48.79812954312576
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,201,N,Horton Bay,Harbour,"Mayne Island, BC","Mayne Island, BC",,,Mayne Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.8246526,-123.244489,Henslung Cove; Non-Core; Fishing; Harbour; Small Craft Harbour ,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,recreational,moorage,Department of Fisheries and Oceans Small Craft Harbours,Recreational,dock and floats,,199,-123.24448900557921,48.824652620235504
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,202,N,Ganges (Outer Harbour),Port,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC",127 Fulford Ganges Rd,V8K 2T9,Salt Spring Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.8521309,-123.4977102,Ganges Outer; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Harbour Authority of Saltspring Island,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, restroom facilities, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, launch, plane float, derrick, breakwater",,315,-123.49771020492854,48.85213093720158
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,203,N,Ganges (Inner Harbour),Port,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC",127 Fulford Ganges Rd,V8K 2T9,Salt Spring Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.854051999999996,-123.498477,Ganges Inner; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Harbour Authority of Saltspring Island,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, restroom facilities, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"floats, launch, breakwater",,545,-123.49847700235352,48.85405199622391
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,204,N,Crofton,Port,"Crofton, BC","7030 Trans Can. Box 278 Duncan, BC  V9L 3X4",,V9L 3X4,Crofton,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.865384,-123.639027,Crofton; Core; Fishing; Port; Small Craft Harbour; Marina,20200121073233,,The Corporation of the District of North Cowichan,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pay phone",BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia,Fishing,"wharf and floats, breakwater derrick",,501,-123.63902700525297,48.86538400424337
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,205,N,Stuart Channel Wharfs,Terminal,"Crofton, BC","Box 70, 8451 Hay Rd, Crofton, BC  V0R 1R0",,V0R 1R0,Crofton,,,,http://www.haa.bc.ca/harbour/crofton,,48.8741874,-123.6420881,Catalyst Mill; Stuart Channel Wharfs; Crofton: Pulp and Paper; Terminal: Wood Products,20200121073233,,Crofton Harbour ,Catalyst Paper Corp - Crofton Division,"forest products - woodpulp, newsprint, lumber",Berth #1: 1040 sq m of covered storage space; Berth #2: 2600 sq m of covered storage space; Berth #3: 843 sq m of covered storage space,Harbour Authority of British Columbia; Catalyst Paper Corp - Crofton Division; BC Ports Handbook 2014,Pulp and Paper,"Berth #1 (north) length 170 m, depth 12 m; #2: (Central) length 152 m, depth 12.2 m; #3 (south) length 138 m, depth 12 m",,197,-123.64208810693145,48.87418735752755
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,206,N,Vesuvius Bay (Saltspring Island),Port,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC",127 Fulford Ganges Rd,V8K 2T9,Salt Spring Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.8817083,-123.5733694,Saltspring Island; Vesuvius; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Harbour Authority of Saltspring Island,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing,dock and floats,,201,-123.57336940649378,48.88170833371319
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,207,N,Whaler Bay,Port,"RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18",V0N 1P0,Galiano Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.883382999999995,-123.325831,Whaler Bay; Galiano Island; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Whaler Bay Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water. lights, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,wharf and floats,,185,-123.32583099826728,48.883382998863176
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,208,N,Itatsoo (Ucluelet),Port,"Port Albion, BC","Port Albion, BC",,,Port Albion,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.936509,-125.528657,Ucluelet; Porcher Island; Non-Core; Fishing; Harbour; Small Craft Harbour ,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,"fish, non-core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing,wharf and floats,,419,-125.52865699817971,48.93650899569234
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,209,N,Ucleulet (Otter Street),Port,"Ucluelet, BC","PO Box 999, 200 Main St, Ucluelet, BC  V0R 3A0",,V0R 3A0,Ucluelet,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.941061999999995,-125.541178,Ucleulet; Otter Street; Core; Fishing; Port; Small Craft Harbour,20200121073233,,The Corporation of the Village of Ucluelet,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,wharf and floats,,407,-125.5411779947229,48.941061999601374
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,210,N,Ucleulet West,Port,"Ucluelet, BC","PO Box 999, 200 Main St, Ucluelet, BC  V0R 3A0",,V0R 3A0,Ucluelet,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.945403,-125.55385799999999,West Ucleulet; Non-Core; Fishing; Port; Small Craft Harbour,20200121073233,,The Corporation of the Village of Ucluelet,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, security, pay phone, restroom facilities",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, breakwater",,345,-125.55385799889636,48.945403003250846
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,211,N,Ucleulet East,Port,"Port Albion, BC","Port Albion, BC",,,Port Albion,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.945915,-125.54017400000001,East Ucleulet; Non-Core; Fishing; Port; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,"fish, non-core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing,wharf and floats,,387,-125.54017400048959,48.94591500378337
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,212,N,Chemainus Sawmill Wharf,Terminal,"2860 Victoria St, Chemainus, BC","2860 Victoria St, Chemainus, BC",2860 Victoria St,V0R 1K0,Chemainus,,,,http://www.westernforest.com/products/manufacturing/,,48.9253074,-123.7096575,Chemainus; Vancouver Island; Lumber; Logs; Terminal,20200121073233,,Chemainus Harbour Authority,Western Forest Products,lumber,N/A,BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities; Western Forest Products Inc,Forest Products,"length 170 m, min water depth 15.8 m (north), 9.7 m (south)",,377,-123.7096575060112,48.92530742216717
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,213,N,Ladysmith,Port,"Ladysmith, BC","PO Box 130, Ladysmith, BC  V9G 1A1",,V9G 1A1,Ladysmith,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.99912,-123.8146088,Ladysmith; Delta; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Ladysmith Fisherman's Wharf Association,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, lights, parking, storage, restroom facilities, pay phone, security",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing ,"wharf and floats, breakwater, launch, derrick",,425,-123.8146087935042,48.99912004083873
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,214,N,North Galiano,Port,"RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18",V0N 1P0,Galiano Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.9946684,-123.5844312,Galiano Island; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Whaler Bay Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, breakwater",,435,-123.58443119375119,48.994668389493775
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,215,N,Westshore Terminals Ltd.,Terminal,"1 Roberts Bank, Delta, BC","1 Roberts Bank, Delta, BC",1 Roberts Bank,V4M 4G5,Delta,,,,http://www.westshore.com/#/main,,49.0144166,-123.156068,Westshore; Delta; Terminal; Coal; Petroleum; Strait of Georgia; Roberts Bank,20200121073233,,Port Metro Vancouver ,"Westshore Income Fund, Westar Management",coal and petroleum coke,N/A,Westshore Terminals; Port Metro Vancouver; BC Ports Handbook 2014 ,Breakbulk and Bulk ,"#1: length 350 m, depth 22.9 m; #2: length 263 m, depth 19.4 m; rail access and capacity",,229,-123.15606800058514,49.01441662972383
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,216,N,DeltaPort Container Terminal,Terminal,"2 Roberts Bank Way, Delta, BC","2 Roberts Bank Way, Delta, BC",2 Roberts Bank Way,V4M 4G5,Delta,,,,http://globalterminalscanada.com/,,49.0228805,-123.1657235,Deltaport; Richmond; Terminal; Container; Strait of Georgia; Roberts Bank,20200121073233,,Port Metro Vancouver ,TSI Terminal Systems Inc ,containerized cargo,Annual capacity 1.4 million TEUs,Global Container Terminals Canada; BC Ports Handbook 2014; Port Metro Vancouver,Container ,"Container berths totalling 1100 m length, depth alongside 15.9 m at low tide; rail access and capacity",,533,-123.16572349607277,49.0228805188872
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,217,N,Ladner (Delta),Port,"4850 McNeeley's Way, Delta, BC","4850 McNeeley's Way, Delta, BC",4850 McNeeley's Way,V4K 5E2,Delta,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.092324,-123.091726,Ladner; Delta; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Ladner Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, storage, restroom facilities, security, pumpout",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick",,287,-123.09172600086039,49.09232400064814
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,218,N,Tofino (Armitage Point),Port,"Tofino, BC","Box 826, 40-4th St, Tofino, BC  V0R 2Z0",,V0R 2Z0,Tofino,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.150864,-125.892149,Tofino; Armitage Point; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Tofino Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,wharf and floats,,225,-125.89214899396448,49.15086399953723
