"Licenses","X1990","X1991","X","X1992","X1993","X.1","X1994","X.2","X1995","X.3","X1996","X.4","X1997","X.5","X1998","X.6","X1999"
"COMM OCEAN ENHANCEMENT STAMP","1,217","984",NA,"898","237",NA,"224",NA,"433",NA,"396",NA,"390",NA,"511",NA,"653"
"Limited Entry & Restricted Access","","",NA,"","",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"ABALONE DIVING PERMIT","124","120",NA,"117","115",NA,"112",NA,"110",NA,"103",NA,"97",NA,"N/A",NA,"N/A"
"DRIFT GILL NET SHARK/SWORDFISH PERMIT","183","165",NA,"149","117",NA,"162",NA,"185",NA,"167",NA,"120",NA,"148",NA,"136"
"DRIFT GILL NET (VESSEL)","Not Avail.","Not Avail.",NA,"Not Avail.","Not Avail.",NA,"Not Avail.",NA,"Not Avail.",NA,"Not Avail.",NA,"Not Avail.",NA,"Not Avail.",NA,"Not Avail."
"DUNGENESS CRAB PERMIT","N/A","N/A",NA,"805","713",NA,"705",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A"
"DUNGENESS CRAB VESSEL PERMIT (R)","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"614",NA,"624",NA,"614",NA,"609",NA,"604"
"DUNGENESS CRAB VESSEL PERMIT (NR)","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"67",NA,"74",NA,"76",NA,"72",NA,"70"
"EXPERIMENTAL DRIFT GILL NET - SWORDFISH","22","20",NA,"18","15",NA,"19",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A"
"FINFISH TRAP PERMIT","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"",NA,"316",NA,"198",NA,"196",NA,"158"
"GENERAL GILL/TRAMMEL NET PERMIT","593","438",NA,"376","290",NA,"308",NA,"300",NA,"273",NA,"219",NA,"255",NA,"245"
"HERRING GILL NET PERMIT(R)","331","329",NA,"323","314",NA,"323",NA,"327",NA,"320",NA,"320",NA,"338",NA,"338"
"HERRING GILL NET PERMIT(NR)","89","91",NA,"97","85",NA,"97",NA,"99",NA,"106",NA,"108",NA,"120",NA,"122"
"HERRING STAMP","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"415",NA,"415",NA,"415"
"HERRING ROUND HAUL PERMIT (R)","25","26",NA,"25","26",NA,"25",NA,"22",NA,"21",NA,"19",NA,"N/A",NA,"N/A"
"HERRING ROUND HAUL PERMIT (NR)","17","16",NA,"16","15",NA,"14",NA,"13",NA,"14",NA,"14",NA,"N/A",NA,"N/A"
"LOBSTER PERMIT","11","5",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A"
"LOBSTER OPERATOR PERMIT","407","350",NA,"351","271",NA,"463",NA,"425",NA,"298",NA,"243",NA,"274",NA,"266"
"NEARSHORE FISHERY PERMIT","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"1,184"
"PINK SHRIMP TRAWL PERMIT","132","176",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A"
"PINK SHRIMP (INDIVIDUAL)","N/A","N/A",NA,"N/A","N/A",NA,"307",NA,"175",NA,"167",NA,"128",NA,"118",NA,"106"
"PINK SHRIMP (VESSEL)","N/A","N/A",NA,"N/A","N/A",NA,"8",NA,"132",NA,"129",NA,"122",NA,"113",NA,"107"
"SALMON VESSEL PERMIT","3,373","3,248",NA,"2,974","2,741",NA,"2,470",NA,"2,344",NA,"2,221",NA,"2,076",NA,"1,899",NA,"1,800"
"SEA CUCUMBER","N/A","N/A",NA,"134","106",NA,"129",NA,"129",NA,"134",NA,"N/A",NA,"N/A",NA,"N/A"
"SEA CUCUMBER DIVING PERMIT","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"111",NA,"114",NA,"103"
"SEA CUCUMBER TRAWL PERMIT","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"36",NA,"36",NA,"36"
"SEA URCHIN DIVING PERMIT","606","568",NA,"537","503",NA,"566",NA,"552",NA,"521",NA,"474",NA,"465",NA,"433"
"Late Fees","","",NA,"","",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"LIMITED ENTRY LATE FEE","N/A","N/A",NA,"N/A","18",NA,"35",NA,"55",NA,"54",NA,"111",NA,"86",NA,"99"
"MARKET SQUID/LIGHT VESSEL LATE FEE","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"70",NA,"28"
"SALMON VESSEL LATE FEE","270","299",NA,"N/A","335",NA,"208",NA,"179",NA,"132",NA,"132",NA,"144",NA,"129"
