"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,2057,18.70139332790539990838620300735185093752,2964,26.32424854912505709750288476073042888075,11042,93.67374054002205071664829106945975744218,1120.97,9.5096407293197353914002205071664829107
"American Shad",,,,,,,,,,,3,.0001818
"Dover Sole",,,,,,,,,2,.001361904761904761904761904761904761904762,31,.0211095238095238095238095238095238095238
"Drum Family",25001.19962035,26.571724886648,433.50335427,.13699797011,323.15758464,.66548414036,2447.5449581734,1.867288658625
"Dungeness Crab",,,,,,,1224.1165862209,0
"Dwarf Perch",10.279205464,.0003597721913
"Eel Order",0,0,,,,,0,0
"English Sole",,,,,21.606073802,0,12.9756206042,.0028546365329,,,5,.00482045454545454545454545454545454545455
"Fantail Sole",2831.042733592,1.225894539303,,,1154.11656436,.459437797038,90.9845791442,.0388460531168
"Finescale Triggerfish",,,,,725.379031842,.37656187497,351.304075109,.489749508997
"Flag Rockfish",,,,,42853.0847528776111111111111111111111111,17.26701430721338888888888888888888888889,2541.107437655066666666666666666666666668,1.08190451302950000000000000000000000001
"Flatfish Order",3012.872033537,10.697065533973,,,1759.142061776,.7593747897802,828.3280487454,1.1780966154587,7,,12,,230.8602,.058519940967568378698,593.0649,.150333937759461543201
"Flyingfish Family",,,,,,,0,0
"Freckled Rockfish",,,,,106.5170013,.011361813472,24.614568708,.0030768210885
"Garibaldi",0,0,,,0,0,0,0
"Giant Kelpfish",347.902726887,.002602132126,1396.06244858,.425334408764,0,0,39.0249771128,.0118186644648
"Giant Seabass",,,0,0,71.639514857,.053013240994,42.3746489293,.1053726642645
"Goby Family",33.713436313,0
"Gopher Rockfish",535.4601293621,.2215582804903,316.78670109,.13592385217,69191.682651498682993535382820616364835,27.61840897133244322425626143374014712043,55299.256024822837633010065104817412479,22.48140383224217335858676778963292711884,4,.0035084536082474226804123711340206185567,15,.0131567010309278350515463917525773195876
"Grass Rockfish",4074.6126131332,2.1950215910538,6884.79159774,4.80964791925,222.124308753,.110052170164,3041.2468878767,2.66186265605638,4,.00566745762711864406779661016949152542372,20,.0283372881355932203389830508474576271188
"Gray Smoothhound",245.86205506,.282127101202,0,0,0,0,874.478861811,1.1276319243841
"Green Sturgeon",,,,,0,0,43.065924173,.95771487815
"Greenblotched Rockfish",,,,,4989.294194142,2.396750679773,460.1619450088,.2525357662227
"Greenling Family",,,,,,,0,0
"Greenling Genus",0,0,0,0,,,57.0793391914,.0382389523563
"Greenspotted Rockfish",,,,,89442.226080577,35.184430124391,8669.3549017987,3.6819658534148
"Greenstriped Rockfish",,,,,5591.43214084,1.1407189853149,961.7980741226,.2041363372738,171,.0767833702046972635207929325576384399915,9,.00393552
"Halfbanded Rockfish",,,,,11601.466670724,.9546698989843,431.8038286896,.0363778505972
"Halfmoon",7170.312385665,1.8776025141596,2520.3465714,.62487246406,32950.539746971,11.886758898706,6544.5594325624,2.3427583709281
"Herring Family",373.10818409,.023298941364
"Honeycomb Rockfish",,,,,62993.8404030240049074839566378647764629,8.69491922169322005606310602281593417773,4996.007842255951328410151939563704269586,.7286785335479296154825566590272472625416
"Hookthroat Bass",,,,,,,114.44001113,.062942006122
"Horn Shark",0,0,,,0,0,8.196822488,.015041169265
"Jack Family",0,0,,,,,0,0
"Jack Mackerel",53508.373894542,5.3854032545954,0,0,9904.146011483,1.5308795223238,11808.0536823549,2.4048104097316,19,.026413175572519083969465648854961832061,74,.0979906870229007633587786259541984732826
"Jacksmelt",370595.5266380055,62.8742291019983,119142.96774083,29.54080630041,1053.9532431166,.175646457102,16499.1742626533,3.5125872214573
"Kelp Bass",4317.638331787,1.8112979704425,1713.97590862,.77473611711,198013.571425144,112.677390194106,70187.1730123748,57.7942732606059
"Kelp Greenling",1981.4536376202,1.1292763503463,4653.307480798,2.435649092602,4210.085108815,2.284950800107,3729.7379538513,2.2470926162933,3029,2.27223428574193818943163221811714186587,2741,1.90142207680801991020314711512525524817,281.9697,.20978609399,2850.5709,2.07924622971
"Kelp Perch",,,,,70.438622533,.0023479540844,0,0
"Kelp Rockfish",382.881373306,.201466916344,,,10021.4598436056521739130434782608695652,3.62157505745264347826086956521739130435,4952.405784493297101449275362318840579709,2.4655613841169329710144927536231884058
"Leopard Shark",1740.2440330827,7.6853177841913,1562.72922241,6.47351922605,104.09827621,.44838305326,5535.357873414653202732767748247624408616,24.69035239368974093072699574247561863662
"Lingcod",632.681300528,2.89049808635,1537.737309161,4.558084231781,59707.9279104713184286790333082255614137,205.203596670076310500560513910003548748,49804.9089399263956451926054911519902187,167.776149311234801837757299504767221751,14782,55.02303921777352967968861067643223760786,18825,73.20453518311714264448602397639196137093,12560.171,46.93783022954,8891.7658,32.99431684569
"Longfin Sanddab",337.49935761,.067364871778,,,1828.076630086,.2462785135984,1227.4977422419,.232504422532
"Longjaw Mudsucker",0,0
"Longnose Skate",,,,,5.80673784894,0,,,2,.0110142857142857142857142857142857142857,0,0
"Longspine Combfish",,,,,,,0,0
"Mackerel Family",14.01054675,.0067379708676,,,,,250.6281694137,.1076056241991
"Mexican Rockfish",,,,,,,534.230769622,.532632068828
"Mexican Scad",111.748690884,.0178797905418,,,401.608240465,.156505647508
"Midshipman Genus",,,,,,,0,0
"Monkeyface Prickleback",1910.040139655,1.40543887066,557.23421871,.37571606347,78.185876191,.060560441901,29.296421719,.024838673965
"Northern Anchovy",1804978.7343552658,31.0937167441294,,,,,11319.733472835,.1866267388277,,,33,.0006138
"Ocean Sunfish",,,,,,,,,2,.0058,2,.0058
"Ocean Whitefish",34.046463841,.021460181777,,,106447.046847718,66.624276655803,7898.2227787069,5.7295735316059
"Olive Rockfish",521.0006475617,.1950437572567,,,111209.655956224972994781967954955929054,69.55875507547519420440028673146156957444,27150.3112542423997402547097030762253021,17.48619435383765903556954259276670299604
"Onespot Fringehead",0,0
"Opaleye",28059.887731352,10.3825945663234,16530.61256936,5.80506291027,10581.377200012,6.7896123668,1167.9840800618,.7240545257214
"Pacific (Chub) Mackerel",1326256.1200091204,224.8708999803934,8629.4808233,1.37074008971,152454.499424898,49.634065960584,127674.4450149226,35.2368449463597,64,.0332143078557643073772106030170546299579,112,.0672423570359173524115703056664712172928
"Pacific Angel Shark",0,0,,,,,41.619027073,.36629946202
"Pacific Barracuda",307.2583340581,.34587631918,988.25607417,1.5781689307,105496.511532659,245.055033078552,14920.9383626469,36.9244541041086
"Pacific Bonito",37285.910801008,15.8832340825361,0,0,116262.277589543,117.282865204677,10869.4730169493,11.6644272458029
"Pacific Cod",,,,,,,,,,,,,598.4059,1.51500438923,3558.5189,8.51236363827
"Pacific Hagfish",,,,,,,0,0
"Pacific Hake",,,,,0,0,63.0555744947,.0609011662218,1,.00062391,50,.0379153741434044882320744389709906951287
"Pacific Herring",17410.365408623,1.0118511342297,,,,,0,0,,,158,.01659
"Pacific Pompano (Butterfish)",6290.95389402,.2306683094434
"Pacific Sanddab",43494.0459454691,4.078616903328,,,311945.3864016916773504273504273504273504,40.12751387331148653846153846153846153846,26950.8959076720520884429580081753994797,3.76126249519350488969967230836796054187,453,.1093303815537584651421235095325223337198,573,.0951175085464033210686302751156049915111
"Pacific Sardine",459105.937366035,22.0415937851448,,,238.584473582,.0108556323074,735.377107106,.0361673187958,,,8,.000777777777777777777777777777777777777778
"Pacific Staghorn Sculpin",2066.7608828876,.4001217949128,1055.9556703,.2162194944,0,0,0,0
"Pacific Tomcod",166.17937708,.022531027617
"Painted Greenling",578.56454046,.025071130087,,,253.14579526,.01012583181
"Pelagic Stingray",,,,,0,0
"Perch Family",,,,,,,3.8671095224,0
"Petrale Sole",,,,,50.504711402,.039967281742,511.81357457193,.36482202478535,4,.00449059350333940497874924104432301153612,24,.0248350990934008011806873286949188277462
"Pile Perch",1934.8363993293,.8485248768873,459.40492761,.177703016508,80.510078105,.036890802549,405.9009307399,.2093838091313
"Pink Seaperch",,,,,302.82854469,.026043254843
"Plainfin Midshipman",,,,,,,42.794907354,0
"Queenfish",257327.89393127,14.038628527155,,,148.39954264,.0080377908306,835.311942702,.0925413961971
"Quillback Rockfish",,,,,3562.158230532,2.98253004989,2544.8145192215,2.7186564581573,1540,1.87487341399525593028583548893599343113,983,1.23519953118927457732937215414967062099,818.0671,.95123074967,1345.1913,1.52644467045
"Rainbow Seaperch",951.634408069,.2338781884279,2001.97559182,.544765111544,35.050920781,.0077379201024,121.211168527,.0320380781947
"Red Irish Lord",8.349154204,.0011687796859,,,,,16.6969277637,.0148420719526,132,.0950324663398692810457516339869281045753,133,.1026528925643671773702733455055436479588
"Red Rock Crab",,,,,,,50.3845510609,0
"Redbanded Rockfish",,,,,,,,,3,.00492133333333333333333333333333333333332,3,.00492133333333333333333333333333333333332
"Redstripe Rockfish",,,,,,,,,102,.051331001196736490854137912961442373207,10,.00717857142857142857142857142857142857143
"Redtail Surfperch",3247.683728855,1.2971189638152,26484.790853097,12.542969177364,,,134.1846901005,.0634350133213,4,.002726315789473684210526315789473684210522
"Reef Perch",,,1401.8441227,.10747471607
"Rex Sole",,,,,1.2306,0
"Righteye Flounder Family",5.2404961222,.0064355676254,,,,,3.4323973317,.0092181278814
"Rock Greenling",82.9132984596,.0471604254457,1215.545844552,.721142086579,541.411158533,.307212557302,173.4561173239,.0984615230068,9,.007999363636363636363636363636363636363632,31,.0275533636363636363636363636363636363639
"Rock Sole",,,,,1146.484307622,.510255059129,172.8156555781,.1242355929583,24,.0216460273972602739726027397260273972603,12,.0108230136986301369863013698630136986301
"Rock Wrasse",1059.8530691,.26750780178,,,208.267822295,.057551705818,214.713182968,.060377885745
"Rockfish Genus",2014.7580336178,1.4253390029985,902.141203343,.483326144563,410381.6824391902304661480580259204012347,166.860353673245591010173573214346862237,93039.8202398834347537101936979133626496,43.76417296409597878495624517258796022534,5,,360,,87.1925,.11968356443,288.8215,.396446788474
"Rosethorn Rockfish",,,,,77.523518396,.017525868427,4.3055526606,.0013210826225,87,.0283790759436234935327494311160372866361,5,.001457653846153846153846153846153846153846
"Rosy Rockfish",,,,,32118.0195034904722222222222222222222222,5.13750971895367500000000000000000000001,2671.379971200216666666666666666666666667,.4740713888651866666666666666666666666667,9,.002930031674208144796380090497737556561087,4,.001619457013574660633484162895927601809955
"Round Stingray",102.31947785,.04765164254,0,0,,,0,0
"Rubberlip Seaperch",3306.6418676217,1.7208823303642,4659.32589436,3.67615624596,400.682657079,.1798119793,482.2204577453,.2797657933981
"Sablefish",,,,,255.74090803,.10101765867,3.1018779056,.0012252417727,133,.6116259266712943647711058772331291968811,196,.9548261808555393974658638754932393928328
"Sablefish Family",,,,,,,0,0
"Salema",7084.133051262,.7412719131578,,,,,0,0
"Sand Sole",10.093167598,.0042822130605,,,,,124.401047294346,.076754432081253,29,.0142798305718987398841324586911927143211,103,.0512089855002353384645084680321890816173
"Sandbass Genus",1863.6881054,.85052477722,0,0,8588.92191261,5.04092027267,323.890983857,.2431957846025
"Sanddab Genus",822.0479327876,.0774138836298,,,140477.2643472593265306122448979591836735,16.70161655102022857142857142857142857143,29502.846198684346938775510204081632653,4.13762752362838061224489795918367346939
"Sarcastic Fringehead",,,,,,,0,0
"Sargo",1737.450684018,.987336179158,1093.50405257,.64832255878,356.532827908,.189646045654,1411.3497788433,1.0219949478106
"Scorpionfish Family",,,,,10.4604500567,.00373738922648,.590341949442,.000205833559708
"Sculpin Family",192.470008073,.195848280011,227.40829948,.28414925888,,,16.9584970123,.0320876635314,1
"Sea Run Trouts",,,,,,,0,0
"Senorita",418.43058621,.037285511323,12474.9262667,1.01175893969,0,0,82.677692054,.0085912124746
"Seven Gill Shark",167.2157228592,.703312695826,,,,,536.740435592299896399896399896399896399,2.99301314557517974617974617974617974618
"Sharpnose Seaperch",763.148419845,.192601039195,0,0,1761.486824824,.351012613189,62.7828105977,.0166948364666
"Shiner Perch",109533.3976456982,3.5706309898642,15327.58321465,.4512107563995,78.272803269,.002229957441,2769.105577215,.0660064630598
"Shortfin Corvina",1752.48945082,2.42214388172,256.56320967,.37304290686,,,742.0525053715,.882340327773
"Shortfin Mako Shark",,,,,,,,,,,0,0
"Shortspine Thornyhead",,,,,,,,,1,.001728
"Shovelnose Guitarfish",6792.699359474,25.532913758722,833.82785252,3.2543472167,189.470399142,.61837816604,318.0176366485,1.173023796316
"Silver Surfperch",6901.681991197,.7630484243472,644.90877725,.077263932843,,,5.5729983405,.0007682527216
"Silvergray Rockfish",,,,,,,,,6,.00999980710550089043464483921142071932495,30,.0569482758620689655172413793103448275863
"Silverside Family",147349.7939195684,14.0758101221827,45274.8399107,7.287981507749,0,0,4213.2141485983,.6391358031863
"Skate And Ray Order",34.1268957749,.194387538564,1667.655705,5.5691994308,92.81728365723529411764705882352941176471,.1670953865623529411764705882352941176471,617.429238852412867198161315808374631904,2.5409091665374395290167348990878402643
"Skate Family",,,,,,,0,0,0,,20
"Slender Sole",,,,,,,4.6395788316,0
"Smelt Family",363.38390792,0,12994.75997,0,,,237.01167088,0
"Smoothhound Genus",305.57175554,.20837398304,0,0,62.73365598972360028348688873139617292702,.0412930706899078667611622962437987243091,1036.67215687899521105518625008348608632,.7404960009481401920948962054560920613368
"Snake Eel Family",0,0
"Soupfin Shark",1289.0739979,3.9316756937,,,46.9627395086,.11864088923,9.296374866,.0213591570227,,,5,.014125
"Speckled Rockfish",,,,,34914.251838098,12.889788023758,345.6137527721,.1279961805462
"Speckled Sanddab",153.752477127,.0037223528186,,,71.289266331,.0021112871317,63.6795547549,.0014355255934
"Specklefin Midshipman",,,,,,,10.845835554,.0073209389992
"Spiny Dogfish Shark",432.602313731,1.181291927351,,,1031.388589029153846153846153846153846154,2.19519243303384615384615384615384615385,477.187087607344574175824175824175824176,1.20684359198917115384615384615384615384,4,.008710298,7,.018591144
"Spotfin Croaker",18204.205373487,11.796979763116,9607.8207224,8.6552056668,1291.118407,.69662962479,38.3596544377,.0232634949482
"Spotfin Surfperch",103.31994497,.0040983578172
"Spotted Ratfish",,,,,0,0,0,0,,,0,0
"Spotted Sandbass",3830.424347395,1.907106725223,1915.74847682,1.05249799741,175.848098322,.090179917131,13742.8839549242,7.8110684301194
"Squarespot Rockfish",,,,,40723.832415186,6.2541836252131,519.4274403689,.0889625968799
"Squid Class",,,,,15555.150071366,0,495.682212912,0
"Starry Flounder",318.267678262,.3327708996109,2323.97633847,1.229144819622,1031.8802627166,.5768719516371,1227.690559894253333333333333333333333334,1.23524413542684666666666666666666666667,19,.026564,49,.0689720501664816870144284128745837957827
"Starry Rockfish",,,,,112365.5759001609,46.54788909555745,8336.0005570838,3.66015784206585
"Starry Skate",,,,,0,0
"Striped Bass",8246.097480119,24.9567559142,21675.681178609,54.86107368424,9488.9062173811,20.5425724369613,12629.7007288806,33.9845363219462
"Striped Mullet",220.84500523,.28140173757,5782.6417888,11.410696381,,,0,0
"Striped Seaperch",10830.7903124602,4.565564774009,14384.75615511,7.419617885564,,,396.8003559554,.1631232751578,6,.00385961538461538461538461538461538461538,39,.0254404230769230769230769230769230769233
"Stripetail Rockfish",,,,,111.131168742,.035105607234,13.078551964,.0051940534942
"Sturgeon Genus",0,0,,,0,0,188.5483921353,3.127417946406
"Surf Smelt",,,114642.897638,2.4376260882,,,0,0
"Surfperch Family",35626.4229086813,5.6534985815508,16548.86738033,4.401967311684,262.31463509,.03657894076,1320.4878245929,.3911600198813,9,,107,,1.91,.000674156083,114.96,.040576431048
"Swell Shark",0,0,,,0,0,0,0
"Swordspine Rockfish",,,,,1083.799342008,.147644262154,19.7881948705,.0023356398444
"Thornback",1463.471483203,1.094486914383,0,0,0,0,35.9488151343,.036124071001
"Tiger Rockfish",,,,,,,39.9678238031,.064069878937,113,.1346586097215880372309451677518077230015,33,.0416540126435528006676629772858328570503,41.389,.0514526385,88.6007,.11212900717
"Topsmelt",176245.218830235,7.5410390384,11341.5595711,.49447409275,70.438622533,.0036541237235,806.0041218424,.0441063285211
"Treefish",,,,,26451.9168341951357142857142857142857143,11.05975834982317857142857142857142857142,2227.034358420492857142857142857142857143,1.03867214487095214285714285714285714286
"Tunas (Non-Mackerel)",,,,,,,0,0
"Unidentified (Sharks)",700.363430125,4.151558923563,0,0,0,0,254.443000073011788362490609681620917575,.6897906272873533581534986029368051839963,0,,1,,198.5891,.1356123260189,399.746,.272978148734
"Unidentified (Surface Fish)",0,0,6497.3799851,3.093997862,,,44.0118727807,.0295008163938
"Unidentified Fish",11565.3853804359,7.1727575372372,6153.86187403,7.97003826678,3492.195832391,3.59292418616,2689.2596098076,3.232908808104,7,,54,,1134.78,2.122687240248,1234.51,2.309239345916
"Vermilion Rockfish",38.563398063,.035531691282,,,301756.394350407867371225265962108067371,254.435902646499765573023467760309865573,86837.6279200581429574811153758522179575,92.69379806521244456815114709851551956818,1399,2.85214691637963273527622057723067320754,1563,3.21383274745170017319507560538342723112,20.61,.045098662,149.3286,.32391786792
"Walleye Surfperch",87272.096081003,6.9858920003551,28048.221952175,2.5700193879337,,,599.6753299891,.0745787496373
"White Croaker",154737.9649383478,22.1448800080305,33005.48654051,5.22099870623,7682.1804764836,1.3605646513858,28363.1490394243,5.109009561176
"White Seabass",569.5887498,3.62476836697,0,0,1806.611393077,13.74560402833,3379.5158760483,28.204181710238
"White Seaperch",17938.7169361699,3.9631640996712,3176.08681637,.669812508894,73.974042689,.016604593003,579.398907942,.1303310017885
"White Sturgeon",31.7311756759,.54061967813,158.39335055,2.766688562,0,0,366.2889438888,5.926116011288
"Whitespotted Greenling",41.406329558,.020703164779,23.312707391,.010024464178
"Widow Rockfish",,,,,7121.866282385,5.1307992533475,762.6440427743,.2969705147888,1864,1.29531123042986746933899858619498095177,199,.1504795385006753198588108179917187761283
"Wolf-Eel",,,,,0,0,21.6806579216,.0384303993937,,,6,.0214472869565217391304347826086956521739
"Wrasse Family",,,,,,,0,0
"Yelloweye Rockfish",,,,,899.084403857933333333333333333333333333,.7859352414226666666666666666666666666667,1158.938206242755555555555555555555555554,1.95468950930781111111111111111111111111,330,.5245283648490052955488764849005295548868,1013,1.6137852983516260683678355344829285927,169.6995,.52809798609,1450.4003,4.51149454395
"Yellowfin Croaker",46525.790164233,12.3541138232445,15578.26536669,4.93712226272,249.415684912,.060571700391,4250.095749418,2.2234466294548
"Yellowtail",,,,,31054.127797586,158.24177820573,7879.9541338346,49.449696463366,2,.0112776666666666666666666666666666666667,2,.0112776666666666666666666666666666666667
"Yellowtail Rockfish",24.510467042,.013102289971,,,32252.4057507011,16.98263004306108441558441558441558441559,4782.884820808231807257870704157654409998,3.33256690513709869021869742850276375872,13752,10.94619827311379069715160831729692896651,2293,1.54900630744218386703375455219045684563,12636.3543,11.58445711936,3459.3653,3.09576297574
"Zebraperch",268.127285254,.195121644327,578.26417888,.39188518584,,,0,0
