"spp_code","comm_name","sci_name","mgmt_group_code","complex_code"
"CSLK","California slickhead","Alepocephalus tenebrosus","OTHR",""
"CSOL","Curlfin sole","Pleuronichthys decurrens","GRND","FLAT, RFLT"
"CSRK","Brown cat shark","Arpisturus brunneus","OTHR","SHRK"
"CTRB","C-o sole","Pleuronichthys coenosus","GRND","FLAT, RFLT"
"CUDA","Pacific barracuda","Sphyraena argentea","OTHR",""
"CWC1","Nom. Cowcod rockfish","Sebastes spp.","GRND","ROCK, NSLF"
"CWCD","Cowcod rockfish","Sebastes levis","GRND","ROCK, NSLF"
"DARK","Dark rockfish","Sebastes ciliatus","GRND","ROCK"
"DBR1","Nom. Darkblotched rockfish","Sebastes spp.","GRND","ROCK"
"DBRK","Darkblotched rockfish","Sebastes crameri","GRND","ROCK"
"DCRB","Dungeness crab","Cancer magister","CRAB",""
"DEAC","Deacon rockfish","Sebastes diaconus","GRND","ROCK, NSHR, SSRD"
"DFLT","Unsp. Deep flounders",NA,"GRND","FLAT, RFLT"
"DOVR","Dover sole","Microstomus pacificus","GRND","FLAT"
"DRDO","Dorado/dolphinfish","Coryphaena hippurus","HMSP",""
"DSOL","Deepsea sole","Embassichthys bathybius","GRND","FLAT, RFLT"
"DSRK","Spiny dogfish","Squalus suckleyi","GRND","MGRN, SHRK"
"DTRB","Diamond turbot","Pleuronichthys guttulatus","GRND","FLAT, RFLT"
"DUSK","Dusky rockfish","Sebastes variabilis","GRND","ROCK"
"DVR1","Nom. Dover sole",NA,"GRND","FLAT"
"DWRF","Dwarf-red rockfish","Sebastes rufinanus","GRND","ROCK, NSLF, SSLF"
"ECHN","All echinoderms",NA,"OTHR",""
"EELS","Unsp. Eels",NA,"OTHR",""
"EGL1","Nom. English sole",NA,"GRND","FLAT"
"EGLS","English sole","Parophrys vetulus","GRND","FLAT"
"ESTR","Eastern oyster","Crassostrea virginica","SHLL","OYST"
"ETNA","Bigeye tuna","Thunnus obesus","HMSP","TUNA"
"EULC","Eulachon","Thaleichthys pacificus","OTHR",""
"EURO","European oyster","Ostrea edulis","SHLL","OYST"
"FLAG","Flag rockfish","Sebastes rubrivinctus","GRND","ROCK, SSLF"
"FLAT","All flatfish",NA,"GRND",""
"FLG1","Nom. Flag rockfish","Sebastes spp.","GRND","ROCK, SSLF"
"FNTS","Fantail sole","Xystreurys liolepis","GRND","FLAT, RFLT"
"FRCK","Freckled rockfish","Sebastes lentiginosus","GRND","ROCK, NSLF, SSLF"
"FSOL","Flathead sole","Hippoglossoides elassodon","GRND","FLAT, RFLT"
"GABL","Green abalone","Haliotis fulgens","SHLL","ABLN"
"GBAS","Giant sea bass","Stereolepis gigas","OTHR","BASS"
"GBL1","Nom. Greenblotched rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"GBLC","Greenblotched rockfish","Sebastes rosenblatti","GRND","ROCK, NSLF, SSLF"
"GCLM","Gaper clam","Tresus capax","SHLL","CLAM"
"GDUK","Geoduck","Panopea abrupta","SHLL","CLAM"
"GGRD","Giant grenadier","Albatrossia pectoralis","OTHR",""
"GKCR","Golden king crab","Lithodes aequispinus","CRAB","KCRB"
"GPH1","Nom. Gopher rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRS"
"GPHR","Gopher rockfish","Sebastes carnatus","GRND","ROCK, NSHR, SSRS"
"GPRW","Golden prawn","Farfantepenaeus californiensis","SRMP",""
"GRAS","Grass rockfish","Sebastes rastrelliger","GRND","ROCK, NSHR, SSRS"
"GRDR","Unsp. Grenadiers",NA,"GRND","MGRN"
"GREN","Pacific grenadier","Coryphaenoides acrolepis","GRND",""
"GRND","All groundfish",NA,"GRND",""
"GRS1","Nom. Grass rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRS"
"GSP1","Nom. Greenspotted rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"GSPT","Greenspotted rockfish","Sebastes chlorostictus","GRND","ROCK, NSLF, SSLF"
"GSQD","Giant squid","Moroteuthis robusta","OTHR",""
"GSR1","Nom. Greenstriped rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"GSRK","Greenstriped rockfish","Sebastes elongatus","GRND","ROCK, NSLF, SSLF"
"GSRM","Ghost shrimp","Callianassa californiensis","SRMP",""
"GSTG","Green sturgeon","Acipenser medirostris","OTHR","STRG"
"GTRB","Greenland turbot","Reinhardtius hippoglossoides","GRND","FLAT, RFLT"
"HBRK","Halfbanded rockfish","Sebastes semicinctus","GRND","ROCK, NSLF, SSLF"
"HCLM","Horse clams","Tresus spp.","SHLL","CLAM"
"HLQN","Harlequin rockfish","Sebastes variegatus","GRND","ROCK"
"HMSP","All highly migratory",NA,"HMSP",""
"HNY1","Nom. Honeycomb rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"HNYC","Honeycomb rockfish","Sebastes umbrosus","GRND","ROCK, NSLF, SSLF"
"HSQD","Humbolt squid","Dosidicus gigas","CPEL",""
"HTRB","Hornyhead turbot","Pleuronichthys verticalis","GRND","FLAT, RFLT"
"ISRK","Bigeye thresher shark","Alopias superciliosus","OTHR","SHRK"
"JCLM","California jackknife clam","Tagelus californianus","SHLL","CLAM"
"JMCK","Jack mackerel","Trachurus symmetricus","CPEL","WETF"
"KCRB","All king crab",NA,"CRAB",""
"KFSH","Giant kelpfish","Heterostichus rostratus","OTHR",""
"KGL1","Nom. Kelp greenling","Hexagrammos spp.","GRND","ROND"
"KLP1","Nom. Kelp rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRS"
"KLPG","Kelp greenling","Hexagrammos decagrammus","GRND","ROND"
"KLPR","Kelp rockfish","Sebastes atrovirens","GRND","ROCK, NSHR, SSRS"
"KMKA","Kamchatka flounder","Atheresthes evermanni","GRND","FLAT, TRBT, RFLT"
"KSTR","Kumamoto oyster","Crassostrea gigas kumamoto","SHLL","OYST"
"LCD1","Nom. Lingcod","Ophiodon spp.","GRND","ROND"
"LCLM","Native littleneck","Protothaca staminea","SHLL","CLAM"
"LCOD","Lingcod","Ophiodon elongatus","GRND","ROND"
"LDAB","Longfin sanddab","Citharichthys xanthostigma","GRND","FLAT, SDAB, RFLT"
"LDB1","Nom. Longfin sanddab","Citharichthys spp.","GRND","FLAT, SDAB, RFLT"
"LOBS","California spiny lobster","Panulirus interruptus","OTHR",""
"LSKT","Longnose skate","Raja rhina","GRND","MGRN, SKAT"
"LSP1","Nom. Longspine thornyhead","Sebastolobus spp.","GRND","ROCK, TRNY"
"LSPN","Longspine thornyhead","Sebastolobus altivelis","GRND","ROCK, TRNY"
"LSRK","Leopard shark","Triakis semifasciata","GRND","MGRN, SHRK"
"LSTR","Olympia oyster","Ostrea lurida","SHLL","OYST"
"LUVR","Louvar","Luvarus imperialis","OTHR",""
"MACL","Mud clams","Macoma spp.","SHLL","CLAM"
"MAKO","Shortfin mako shark","Isurus oxyrinchus","HMSP","SHRK"
"MCLM","Manila clam","Venerupis philippinarum","SHLL","CLAM"
"MEEL","Monkeyface prickleback (eel)","Cebidichthys violaceus","OTHR",""
"MGRN","Misc. Groundfish",NA,"GRND",""
"MISC","Misc. Fish/animals",NA,"OTHR",""
"MLSK","All mollusks",NA,"OTHR",""
"MOLA","Mola/ocean sunfish","Mola mola","OTHR",""
"MRLN","Striped marlin","Tetrapterus audax","HMSP",""
"MSC2","Misc. Fish",NA,"OTHR",""
"MSHP","Plainfin midshipman","Porichthys notatus","OTHR",""
"MSQD","Market squid","Loligo opalescens","CPEL","WETF"
"MSRM","Blue mud shrimp","Upogebia pugettensis","SRMP",""
"MXR1","Nom. Mexican rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"MXRF","Mexican rockfish","Sebastes macdonaldi","GRND","ROCK, NSLF, SSLF"
"NANC","Northern anchovy","Engraulis mordax","CPEL","WETF"
"NRCK","Northern rockfish","Sebastes polyspinis","GRND","ROCK"
"NSHR","Northern near-shore rockfish",NA,"GRND","ROCK"
"NSLF","Northern shelf rockfish",NA,"GRND","ROCK"
"NSLP","Northern slope rockfish",NA,"GRND","ROCK"
"NUSF","Nor. Unsp. Shelf rockfish",NA,"GRND","ROCK, NSLF"
"NUSP","Nor. Unsp. Slope rockfish",NA,"GRND","ROCK, NSLP"
"NUSR","Nor. Unsp. Near-shore rockfish",NA,"GRND","ROCK, NSHR"
"OABL","Other abalone",NA,"SHLL","ABLN"
"OANC","Other anchovy",NA,"OTHR",""
"OBAS","Other bass",NA,"OTHR","BASS"
"OCLM","Other clam",NA,"SHLL","CLAM"
"OCRB","Other crab",NA,"CRAB",""
"OCRK","Other croaker",NA,"OTHR",""
"OCTP","Unsp. Octopus",NA,"OTHR",""
"ODSR","Other demersal rkfsh",NA,"GRND","ROCK"
"OECH","Other echinoderm","Echinodermata spp.","OTHR","ECHN"
"OFLT","Other flatfish",NA,"GRND","FLAT, RFLT"
"OGRN","Other groundfish",NA,"GRND","MGRN"
"OLV1","Nom. Olive rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"OLVE","Olive rockfish","Sebastes serranoides","GRND","ROCK, NSHR, SSRD"
"OMSK","Other mollusks",NA,"OTHR","MLSK"
"OPAH","Opah","Lampris guttatus","OTHR",""
"OPLG","Other pelagic rkfsh",NA,"GRND","ROCK"
"ORCK","Other rockfish",NA,"GRND","ROCK"
"ORND","Other roundfish",NA,"GRND","ROND"
"OSCL","Other scallop",NA,"SHLL","SCAL"
"OSKT","Other skates","Rajidae spp.","OTHR","SKAT"
"OSLR","Other slope rkfsh",NA,"GRND","ROCK"
"OSRK","Other shark","Elasmobranchii spp.","OTHR","SHRK"
"OSRM","Other shrimp",NA,"SRMP",""
"OSTR","Other oyster",NA,"SHLL","OYST"
"OTCR","Opilio tanner crab","Chionoecetes opilio","CRAB","TCRB"
"OTHR","Other species (no m-group)",NA,"OTHR",""
"OTNA","Other tuna",NA,"OTHR","TUNA"
"OURC","Other sea urchins","Echinodermata spp.","OTHR","ECHN"
"OWFS","Ocean whitefish","Caulolatilus princeps","OTHR",""
"OYST","All oysters",NA,"SHLL",""
"PABL","Pink abalone","Haliotis corrugata","SHLL","ABLN"
"PBNT","Pacific bonito","Sarda chiliensis","CPEL","WETF"
"PBTR","Pacific butterfish","Peprilus simillimus","OTHR",""
"PCLM","Pismo clam","Tivela stultorum","SHLL","CLAM"
"PCOD","Pacific cod","Gadus macrocephalus","GRND","ROND"
"PDAB","Pacific sanddab","Citharichthys sordidus","GRND","FLAT, SDAB, RFLT"
"PDB1","Nom. Pacific sanddab","Citharichthys spp.","GRND","FLAT, SDAB, RFLT"
"PFNS","Pacific flatnose","Antimora microlepis","GRND",""
"PGMY","Pygmy rockfish","Sebastes wilsoni","GRND","ROCK, NSLF, SSLF"
"PHAG","Pacific hagfish","Eptatretus stoutii","OTHR",""
"PHLB","Pacific halibut","Hippoglossus stenolepis","OTHR",""
"PHRG","Pacific herring","Clupea harengus pallasii","CPEL",""
"PINK","Pink salmon","Oncorhynchus gorbuscha","SAMN",""
"PLCK","Walleye pollock","Theragra chalcogramma","GRND","ROND"
"PNK1","Nom. Pink rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"PNKR","Pink rockfish","Sebastes eos","GRND","ROCK, NSLF, SSLF"
"POMF","Pacific pomfret","Brama japonica","OTHR",""
"POP","Pacific ocean perch","Sebastes alutus","GRND","ROCK, SSLP"
"POP1","Gen. Shelf/slope rf",NA,"GRND","ROCK, NSLP, SSLP"
"POP2","Nom. Pop","Sebastes spp.","GRND","ROCK, SSLP"
"PRCL","Purple clam","Nuttallia nuttalli","SHLL","CLAM"
"PROW","Prowfish","Zaprora silenus","OTHR",""
"PRR1","Nom. Pinkrose rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"PRRK","Pinkrose rockfish","Sebastes simulator","GRND","ROCK, NSLF, SSLF"
"PSDN","Pacific sardine","Sardinops sagax","CPEL","WETF"
"PSHP","Pacific pink shrimp","Pandalus jordani","SRMP",""
"PSRK","Pelagic thresher shark","Alopias pelagicus","OTHR","SHRK"
"PSTR","Pacific oyster","Crassostrea gigas","SHLL","OYST"
"PTR1","Nom. Petrale sole",NA,"GRND","FLAT"
"PTRL","Petrale sole","Eopsetta jordani","GRND","FLAT"
"PUGT","Puget sound rockfish","Sebastes emphaeus","GRND","ROCK"
"PWHT","Pacific whiting","Merluccius productus","GRND","ROND"
"QCLM","Northern quahog clam","Mercenaria mercenaria","SHLL","CLAM"
"QFSH","Queenfish","Seriphus politus","OTHR",""
"QLB1","Nom. Quillback rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"QLBK","Quillback rockfish","Sebastes maliger","GRND","ROCK, NSHR, SSRD"
"RABL","Red abalone","Haliotis rufescens","SHLL","ABLN"
"RATF","Spotted ratfish","Hydrolagus colliei","GRND","MGRN"
"RBR1","Nom. Rougheye + blackspotted",NA,"GRND","ROCK, NSLP"
"RCK1","Bocaccio+chilipepper rckfsh","Sebastes spp.","GRND","ROCK, NSLF"
"RCK2","Unsp. Bolina rckfsh","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"RCK3","Unsp. Dpwtr reds rckfsh",NA,"GRND","ROCK, NSLF, SSLF"
"RCK4","Unsp. Reds rckfsh",NA,"GRND","ROCK, NSLF, SSLF"
"RCK5","Unsp. Small reds rckfsh",NA,"GRND","ROCK, NSLP"
"RCK6","Unsp. Rosefish rckfsh",NA,"GRND","ROCK, NSLP"
"RCK7","Unsp. Gopher rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRS"
"RCK8","Canary+vermilion rckfsh","Sebastes spp.","GRND","ROCK, NSLF"
"RCK9","Black+blue rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"RCKG","Rock greenling","Hexagrammos lagocephalus","OTHR",""
"RCLM","Razor clam","Siliqua patula","SHLL","CLAM"
"RCRB","Rock crab","Cancer spp.","CRAB",""
"RDB1","Nom. Redbanded rockfish","Sebastes spp.","GRND","ROCK, NSLP, SSLP"
"RDBD","Redbanded rockfish","Sebastes babcocki","GRND","ROCK, NSLP, SSLP"
"REDS","Redstripe rockfish","Sebastes proriger","GRND","ROCK, NSLF, SSLF"
"REX","Rex sole","Glyptocephalus zachirus","GRND","FLAT, RFLT"
"REX1","Nom. Rex sole",NA,"GRND","FLAT, RFLT"
"REY1","Nom. Rougheye rockfish",NA,"GRND","ROCK, NSLP, SSLP"
"REYE","Rougheye rockfish","Sebastes aleutianus","GRND","ROCK, NSLP, SSLP"
"RFLT","Remaining flatfish",NA,"GRND","FLAT"
"RGL1","Nom. Rock greenling","Hexagrammos spp.","OTHR",""
"RHRG","Round herring","Etrumeus teres","CPEL",""
"RKCR","Red king crab","Paralithodes camtschaticus","CRAB","KCRB"
"ROCK","All rockfish",NA,"GRND",""
"ROND","All roundfish",NA,"GRND",""
"ROS1","Nom. Rosy rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"ROSY","Rosy rockfish","Sebastes rosaceus","GRND","ROCK, NSLF, SSLF"
"RPRW","Ridgeback prawn","Sicyonia ingentis","SRMP",""
"RSCL","Red irish lord","Hemilepidotus hemilepidotus","OTHR",""
"RSL1","Nom. Rock sole",NA,"GRND","FLAT, RFLT"
"RSOL","Rock sole","Lepidopsetta bilineata","GRND","FLAT, RFLT"
"RSRM","Grass shrimp","Hippolyte clarki","SRMP",""
"RST1","Nom. Rosethorn rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"RSTN","Rosethorn rockfish","Sebastes helvomaculatus","GRND","ROCK, NSLF, SSLF"
"RTSK","Roughtail skate","Bathyraja trachura","GRND","MGRN, SKAT"
"RURC","Red sea urchin","Strongylocentrotus franciscanus","OTHR","ECHN"
"RZCL","Rosy razor clam","Solen sicarius","SHLL","CLAM"
"SABL","Sablefish","Anoplopoma fimbria","GRND","ROND"
"SAIL","Sailfish","Istiphorus platypterus","OTHR",""
"SAMN","All salmon",NA,"SAMN",""
"SARY","Pacific saury","Cololabis saira","OTHR",""
"SBL1","Nom. Shortbelly rockfish","Sebastes spp.","GRND","ROCK"
"SBLY","Shortbelly rockfish","Sebastes jordani","GRND","ROCK"
"SCAL","All scallops",NA,"SHLL",""
"SCLM","Soft-shelled clam","Mya arenaria","SHLL","CLAM"
"SCLP","Unsp. Sculpin","Cottidae spp.","OTHR",""
"SCOR","California scorpionfish","Scorpaena gutatta","GRND","ROCK"
"SCR1","Nom. California scorpionfish","Scorpaena spp.","GRND","ROCK"
"SDAB","Sanddabs",NA,"GRND","FLAT"
"SDB1","Nom. Speckled sanddab","Citharichthys spp.","GRND","FLAT, SDAB, RFLT"
"SFL1","Nom. Starry flounder",NA,"GRND","FLAT, RFLT"
"SFLT","Unsp. Shallow flounders",NA,"GRND","FLAT, RFLT"
"SHAD","Unsp. Shad",NA,"OTHR",""
"SHLL","All shellfish",NA,"SHLL",""
"SHP1","Nom. California sheephead","Semicossyphus spp.","OTHR",""
"SHPD","California sheephead","Semicossyphus pulcher","OTHR",""
"SHRK","All sharks",NA,"HMSP, OTHR, GRND","MGRN"
"SHRP","Sharpchin rockfish","Sebastes zacentrus","GRND","ROCK, NSLP, SSLP"
"SKAT","All skates & rays",NA,"GRND, OTHR","MGRN"
"SKCR","Scarlet king crab","Lithodes couesi","CRAB","KCRB"
"SKIL","Skilfish","Erilepis zonifer","OTHR",""
"SLGR","Silvergray rockfish","Sebastes brevispinis","GRND","ROCK, NSLF, SSLF"
"SLNS","Slender sole","Lyopsetta exilis","GRND","FLAT, RFLT"
"SMLT","Unsp. Smelt",NA,"OTHR",""
"SNOS","Splitnose rockfish","Sebastes diploproa","GRND","ROCK, NSLP"
"SNS1","Nom. Splitnose rockfish","Sebastes spp.","GRND","ROCK, NSLP"
"SOCK","Sockeye salmon","Oncorhynchus nerka","SAMN",""
"SPK1","Nom. Speckled rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"SPKL","Speckled rockfish","Sebastes ovalis","GRND","ROCK, NSLF, SSLF"
"SPRW","Spotted prawn","Pandalus platyceros","SRMP",""
"SPSK","Sandpaper skate","Bathyraja interrupta","OTHR","SKAT"
"SQID","Unsp. Squid","Decapoda spp.","OTHR",""
"SQR1","Nom. Squarespot","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"SQRS","Squarespot rockfish","Sebastes hopkinsi","GRND","ROCK, NSLF, SSLF"
"SRFP","Surfperch spp.","Surfperch spp.","OTHR",""
"SRK1","Nom. Shortraker rockfish","Sebastes spp.","GRND","ROCK, NSLP"
"SRKR","Shortraker rockfish","Sebastes borealis","GRND","ROCK, NSLP, SSLP"
"SRMP","All shrimp & prawns",NA,"SRMP",""
"SSCL","Sharpnose sculpin","Clinocottus acuticeps","OTHR",""
"SSDB","Speckled sanddab","Citharichthys stigmaeus","GRND","FLAT, SDAB, RFLT"
"SSKT","Starry skate","Raja stellulata","OTHR","SKAT"
"SSLF","Southern shelf rockfish",NA,"GRND","ROCK"
"SSLP","Southern slope rockfish",NA,"GRND","ROCK"
"SSO1","Nom. Sand sole",NA,"GRND","FLAT, RFLT"
"SSOL","Sand sole","Psettichthys melanostictus","GRND","FLAT, RFLT"
"SSP1","Nom. Shortspine thornyhead","Sebastolobus spp.","GRND","ROCK, TRNY"
"SSPF","Shortbill spearfish","Tetrapturus angustirostris","HMSP",""
"SSPN","Shortspine thornyhead","Sebastolobus alascanus","GRND","ROCK, TRNY"
"SSRD","Deep so. Nearshore rockfish",NA,"GRND","ROCK"
"SSRK","Soupfin shark","Galeorhinus zyopterus","GRND","MGRN, SHRK"
"SSRS","Shallow so. Nearshore rockfish",NA,"GRND","ROCK"
"STAR","Starry rockfish","Sebastes constellatus","GRND","ROCK, NSLF, SSLF"
"STL1","Nom. Stripetail rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"STLH","Steelhead","Oncorhynchus mykiss","SAMN",""
"STNA","Skipjack tuna","Katsuwonus pelamis","HMSP","TUNA"
"STR1","Nom. Starry rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"STRB","Spotted turbot","Pleuronichthys ritteri","GRND","FLAT, RFLT"
"STRG","All sturgeon",NA,"OTHR",""
"STRK","Stripetail rockfish","Sebastes saxicola","GRND","ROCK, NSLF, SSLF"
"STRY","Starry flounder","Platichthys stellatus","GRND","FLAT, RFLT"
"SUSF","Sou. Unsp. Shelf rockfish",NA,"GRND","ROCK, SSLF"
"SUSP","Sou. Unsp. Slope rockfish",NA,"GRND","ROCK, SSLP"
"SUSR","Sou. Unsp. Near-shore rockfish",NA,"GRND","ROCK"
"SWRD","Swordfish","Xiphias gladius","HMSP",""
"SWS1","Nom. Swordspine rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"SWSP","Swordspine rockfish","Sebastes ensifer","GRND","ROCK, NSLF, SSLF"
"TCOD","Pacific tomcod","Microgadus proximus","OTHR",""
"TCRB","All tanner crab",NA,"CRAB",""
"TGR1","Nom. Tiger rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"THD1","Nom. Thornyheads","Sebastolobus spp.","GRND","ROCK, TRNY"
"THDS","Thornyheads (mixed)","Sebastolobus spp.","GRND","ROCK, TRNY"
"TIGR","Tiger rockfish","Sebastes nigrocinctus","GRND","ROCK, NSLF, SSLF"
"TRBT","Turbots",NA,"GRND","FLAT"
"TRE1","Nom. Treefish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"TREE","Treefish","Sebastes serriceps","GRND","ROCK, NSHR, SSRD"
"TRNY","Thornyheads complex",NA,"GRND","ROCK"
"TSRK","Common thresher shark","Alopias vulpinus","HMSP","SHRK"
