"","X","filename","decade","category","license","year","fees_usd","items","revenues_usd"
"41",41,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1983,25,298,7450
"42",42,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1983,NA,NA,NA
"43",43,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1984,NA,NA,NA
"44",44,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1984,125,117,14625
"45",45,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1984,190,24,4560
"46",46,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1984,NA,NA,NA
"47",47,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1984,65,1236,80340
"48",48,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1984,NA,NA,NA
"49",49,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1984,25,304,7600
"50",50,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1984,NA,NA,NA
"51",51,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1985,NA,NA,NA
"52",52,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1985,125,115,14375
"53",53,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1985,190,29,5510
"54",54,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1985,NA,NA,NA
"55",55,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1985,65,1251,81315
"56",56,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1985,NA,NA,NA
"57",57,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1985,25,322,8050
"58",58,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1985,NA,NA,NA
"59",59,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1986,NA,NA,NA
"60",60,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1986,125,61,7625
"61",61,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1986,190,17,3230
"62",62,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1986,NA,NA,NA
"63",63,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1986,65,623,40495
"64",64,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1986,NA,NA,NA
"65",65,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1986,25,301,7525
"66",66,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1986,50,18,900
"67",67,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1987,750,304,228000
"68",68,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1987,300,240,72000
"69",69,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1987,300,91,27300
"70",70,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1987,300,294,88200
"71",71,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1987,200,475,95000
"72",72,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1987,25,844,21100
"73",73,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1987,40,344,13760
"74",74,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1987,50,3,150
"75",75,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1988,750,348,261000
"76",76,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1988,300,269,80700
"77",77,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1988,300,101,30300
"78",78,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1988,300,275,82500
"79",79,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1988,200,490,98000
"80",80,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1988,25,732,18300
"81",81,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1988,40,331,13240
"82",82,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1988,50,23,1150
"83",83,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1989,750,338,253500
"84",84,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1989,300,270,81000
"85",85,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1989,300,88,26400
"86",86,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1989,300,278,83400
"87",87,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1989,200,459,91800
"88",88,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1989,25,714,17850
"89",89,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1989,40,277,11080
"90",90,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1989,50,26,1300
"91",91,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1990,750,82,61500
"92",92,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1990,300,82,24600
"93",93,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1990,NA,346,167600
"94",94,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1990,300,88,26400
"95",95,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1990,NA,860,388900
"96",96,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1990,25,516,12900
"97",97,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1990,40,255,10200
"98",98,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1990,NA,NA,NA
"99",99,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1990,50,42,2100
"100",100,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1991,NA,NA,NA
"101",101,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1991,NA,NA,NA
"102",102,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1991,500,319,159500
"103",103,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1991,300,0,NA
"104",104,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1991,500,723,361500
"105",105,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1991,50,0,NA
"106",106,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1991,55,260,14300
"107",107,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1991,NA,NA,NA
"108",108,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1991,50,0,NA
"109",109,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1992,NA,NA,NA
"110",110,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1992,NA,NA,NA
"111",111,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1992,500,290,145000
"112",112,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1992,NA,NA,NA
"113",113,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1992,500,620,310000
"114",114,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1992,50,476,23800
"115",115,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1992,40,230,9200
"116",116,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1992,NA,NA,NA
"117",117,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1992,52.5,43,2258
"118",118,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1993,1000,258,258000
"119",119,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1993,400,128,51200
"120",120,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1993,400,86,34400
"121",121,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1993,400,327,130800
"122",122,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1993,270,420,113400
"123",123,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1993,50,479,23950
"124",124,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1993,55,269,14795
"125",125,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1993,1000,6,6000
"126",126,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1993,53.25,33,1757
"127",127,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1994,1000,267,267000
"128",128,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1994,400,131,52400
"129",129,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1994,400,75,30000
"130",130,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1994,400,275,110000
"131",131,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1994,270,383,103410
"132",132,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1994,50,445,22250
"133",133,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1994,55,241,13255
"134",134,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1994,1000,2,2000
"135",135,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1994,50,29,1450
"136",136,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1995,1000,271,271000
"137",137,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1995,400,131,52400
"138",138,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1995,400,66,26400
"139",139,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1995,400,280,112000
"140",140,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1995,270,341,92070
"141",141,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1995,50,505,25250
"142",142,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1995,55,239,13145
"143",143,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1995,1000,0,NA
"144",144,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1995,50,33,1650
"145",145,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1996,1000,264,264000
"146",146,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1996,400,120,48000
"147",147,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1996,400,73,29200
"148",148,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1996,400,311,124400
"149",149,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1996,270,321,86670
"150",150,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1996,50,526,26300
"151",151,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1996,55,264,14520
"152",152,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1996,1000,2,2000
"153",153,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1996,50,33,1650
"154",154,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1997,1000,257,257000
"155",155,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1997,400,150,60000
"156",156,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1997,400,64,25600
"157",157,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1997,400,329,131600
"158",158,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1997,270,352,95040
"159",159,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1997,50,527,26350
"160",160,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1997,55,258,14190
"161",161,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1997,1000,3,3000
"162",162,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1997,50,30,1500
"163",163,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1998,1000,277,277000
"164",164,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1998,400,160,64000
"165",165,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1998,400,53,21200
"166",166,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1998,400,311,124400
"167",167,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1998,270,353,95310
"168",168,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1998,50,655,32750
"169",169,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1998,55,285,15675
"170",170,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1998,1000,2,2000
"171",171,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1998,50,26,1300
"172",172,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1999,1000,284,284000
"173",173,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH IMPORTER",1999,400,190,76000
"174",174,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH PROCESSOR",1999,400,56,22400
"175",175,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH RECEIVER",1999,400,318,127200
"176",176,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISH WHOLESALER LICENSE",1999,270,379,102330
"177",177,"tabula-90s Fees Fish Business.csv","1990s","Licenses","FISHERMAN'S RETAILER",1999,50,674,33700
"178",178,"tabula-90s Fees Fish Business.csv","1990s","Licenses","LIVE FRESH WATER BAIT LICENSE",1999,55,296,16280
"179",179,"tabula-90s Fees Fish Business.csv","1990s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",1999,1000,4,4000
"180",180,"tabula-90s Fees Fish Business.csv","1990s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1999,50,31,1550
"181",181,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2000,1000,293,293000
"182",182,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2000,400,185,74000
"183",183,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2000,400,57,22800
"184",184,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2000,400,282,112800
"185",185,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2000,270,371,100170
"186",186,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2000,50,565,28250
"187",187,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2000,55,306,16830
"188",188,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2000,1000,7,7000
"189",189,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2000,50,30,1500
"190",190,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2001,1000,274,274000
"191",191,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2001,400,176,70400
"192",192,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2001,400,51,20400
"193",193,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2001,400,286,114400
"194",194,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2001,270,353,95310
"195",195,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2001,50,556,27800
"196",196,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2001,55,290,15950
"197",197,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2001,1000,6,6000
"198",198,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2001,50,33,1650
"199",199,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2002,1000,268,268000
"200",200,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2002,400,185,74000
"201",201,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2002,400,49,19600
"202",202,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2002,400,323,129200
"203",203,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2002,270,345,93150
"204",204,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2002,50,573,28650
"205",205,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2002,55,257,14135
"206",206,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2002,1000,5,5000
"207",207,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2002,50,32,1600
"208",208,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2003,1000,264,264000
"209",209,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2003,400,161,64400
"210",210,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2003,400,53,21200
"211",211,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2003,400,337,134800
"212",212,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2003,270,322,86940
"213",213,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2003,50,533,26650
"214",214,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2003,55,234,12870
"215",215,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2003,1000,5,5000
"216",216,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2003,50,32,1600
"217",217,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2004,1373,246,337758
"218",218,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2004,549,140,76860
"219",219,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2004,549,40,21960
"220",220,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2004,549,307,168543
"221",221,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2004,371,307,113897
"222",222,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2004,69,486,33534
"223",223,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2004,55,225,12375
"224",224,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2004,1373,9,12357
"225",225,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2004,50,30,1500
"226",226,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2005,1393.75,246,342863
"227",227,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2005,557.25,133,74114
"228",228,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2005,557.25,46,25634
"229",229,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2005,557.25,285,158816
"230",230,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2005,376.5,277,104291
"231",231,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2005,70,439,30730
"232",232,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2005,55.75,197,10983
