Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
DUNGENESS CRAB VESSEL PERMIT (NR),"$                27,200","$             26,400","$            26,000","$             24,400","$             29,200","$             31,262","$            35,826","$            39,542","$            38,394","$             39,757"
FINFISH TRAP PERMIT,"$                16,060","$             13,530","$            12,320","$               7,370","$              4,950",N/A,N/A,N/A,N/A,N/A
GENERAL GILL/TRAMMEL NET PERMIT,"$                76,560","$            73,590","$             68,970","$             63,690","$             61,710","$            57,620","$             58,432","$            60,000","$            60,214","$            62,288"
HERRING GILL NET PERMIT(R),"$                89,040","$             88,245","$            87,185","$             84,800","$             81,620","$            77,741","$             71,755","$            63,511","$            62,750","$             62,984"
HERRING GILL NET PERMIT(NR),"$              121,000","$          119,000","$          118,000","$           111,000","$           106,000","$            98,455","$             63,975","$             52,268","$            53,314","$            52,847"
HERRING STAMP,"$                41,400","$            40,900","$             40,400","$            39,000","$             37,400","$             35,119","$             29,250","$            25,025","$             24,885","$             25,276"
HERRING ROUND HAUL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HERRING FRESH FISH MARKET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HERRING OCEAN WATERS,N/A,N/A,N/A,N/A,$                    16,$                    16,$                    25,$                     9,$                     9,$                   16
LOBSTER OPERATOR PERMIT,"$                67,045","$            65,455","$             62,805","$             60,420","$             59,095","$             59,180","$             60,455","$            63,812","$            64,005","$             67,650"
MARKET SQUID LIGHT BOAT OWNERS PERMIT,"$             122,500","$            18,000","$             16,400","$             16,000","$             16,000",N/A,N/A,N/A,N/A,N/A
MARKET SQUID BRAIL PERMIT (T),N/A,N/A,N/A,N/A,N/A,"$             28,000","$            33,620","$            44,780","$             49,025","$             52,064"
MARKET SQUID BRAIL PERMIT (NT),N/A,N/A,N/A,N/A,N/A,$                       -,$                       -,$                       -,$                       -,$                       -
MARKET SQUID LIGHT BOAT PERMIT (T),N/A,N/A,N/A,N/A,N/A,"$            36,600","$            37,185","$            36,933","$             37,814","$            40,163"
MARKET SQUID LIGHT BOAT PERMIT (NT),N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                 130,$                 135,$                  143
MARKET SQUID BRAIL (UPGRADE FROM LIGHTBOAT),N/A,N/A,N/A,N/A,N/A,"$             12,000","$               4,500","$              4,500","$              3,000",$                      -
MARKET SQUID VESSEL PERMIT (T),"$              500,000","$            78,400","$             73,600","$             69,600","$            66,400","$           150,000","$          155,493","$          165,686","$           179,757","$           176,027"
MARKET SQUID VESSEL PERMIT (NT),N/A,N/A,N/A,N/A,N/A,"$             14,000","$            12,606","$            13,434","$            12,840","$             11,156"
"MARKET SQUID VESSSEL PERMIT, EXPERIMENTAL (NT)",N/A,N/A,N/A,N/A,N/A,"$               3,000","$               3,150","$              2,239",$                      -,$                      -
NEARSHORE PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEARSHORE TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEARSHORE FISHERY PERMIT,"$             133,625","$            95,875","$             63,500","$             36,625",N/A,N/A,N/A,N/A,N/A,N/A
NEARSHORE FISHERY BYCATCH PERMIT,N/A,N/A,N/A,"$              5,200","$               5,000","$               4,669","$              4,692","$               4,545","$              4,503","$              4,783"
NEARSHORE FISHERY PERMIT - N. CENTRAL COAST,N/A,N/A,N/A,"$             18,000","$            18,000","$             17,763","$             17,597","$             16,479","$            17,183","$             17,619"
NEARSHORE FISHERY PERMIT - NORTH COAST,N/A,N/A,N/A,"$             14,500","$            14,000","$             13,703","$             14,398","$             14,775","$             15,405","$            13,844"
NEARSHORE FISHERY PERMIT - S. CENTRAL COAST,N/A,N/A,N/A,"$             38,000","$            34,500","$            35,525","$             34,661","$             34,663","$            35,550","$             37,126"
NEARSHORE FISHERY PERMIT - SOUTH COAST,N/A,N/A,N/A,"$            37,000","$             35,500","$            35,525","$             36,261","$            36,368","$            37,328","$             39,643"
NEARSHORE TRAP ENDORSEMENT - N. CENTRAL COAS,N/A,N/A,N/A,$                  375,$                  375,$                  381,$                  400,$                  426,$                  445,$                 473
NEARSHORE TRAP ENDORSEMENT - NORTH COAST,N/A,N/A,N/A,$                   75,$                       -,$                      -,$                       -,$                      -,$                       -,$                      -
NEARSHORE TRAP ENDORSEMENT - S. CENTRAL COAS,N/A,N/A,N/A,"$              1,575","$              1,500","$               1,525","$              1,600","$               1,705","$               1,780","$               1,890"
NEARSHORE TRAP ENDORSEMENT - SOUTH COAST,N/A,N/A,N/A,"$              3,375","$              3,225","$               3,203","$               3,360","$               3,581","$               3,738","$              3,875"
NORTHERN PINK SHRIMP TRAWL (VESSEL) (T),N/A,"$            61,000","$             66,000","$             65,000","$             38,000","$             36,540","$            36,253","$            38,633","$            40,282","$            41,522"
NORTHERN PINK SHRIMP TRAWL (VESSEL) (NT),N/A,"$              8,500","$               7,000","$               6,500","$               4,500","$              3,553","$               3,200","$              2,273","$               2,370","$               2,517"
NORTHERN PINK SHRIMP TRAWL PERMIT (INDIVIDUAL),"$               12,500","$            12,500","$               7,500",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PINK SHRIMP (INDIVIDUAL),"$               25,650",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PINK SHRIMP (VESSEL),"$               29,925",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SALMON VESSEL PERMIT,"$               51,120","$            49,500","$            47,580","$             45,630","$             44,250","$            43,493","$             44,448","$            46,206","$             46,363","$            48,358"
SEA CUCUMBER DIVING PERMIT,"$                25,750","$             25,000","$             25,250","$            25,000","$             23,750","$            23,599","$            24,518","$             25,276","$             25,456","$             27,026"
SEA CUCUMBER TRAWL PERMIT,"$                  7,500","$              7,500","$               7,250","$               7,000","$               6,000","$               5,583","$               4,797","$               5,112","$               5,032","$              5,342"
SEA URCHIN DIVING PERMIT,"$             136,620","$           128,370","$          119,790","$           115,170","$           112,200","$          111,220","$           113,696","$          115,875","$           121,210","$           126,651"
SOUTHERN ROCK CRAB TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,"$            36,000","$            37,311","$            37,800","$             38,252","$            39,370"
SPOT PRAWN OBSERVER FEE (TRAP),"$                 6,750",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPOT PRAWN OBSERVER < 1,000 POUNDS (TRAWL)","$                  3,750",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPOT PRAWN OBSERVER 1,000-9,999 POUNDS (TRAWL)","$                 5,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPOT PRAWN OBSERVER >10,000 POUNDS (TRAWL)","$                  8,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPOT PRAWN TRAP VESSEL PERMIT, TIER 1",N/A,N/A,"$               4,500","$               4,000","$               4,000","$               4,314","$               4,531","$               5,112","$              5,032","$               5,342"
"SPOT PRAWN TRAP VESSEL PERMIT, TIER 2",N/A,N/A,"$              1,250","$               1,500",$                  750,$                  761,$                  800,$                  852,$                  888,$                  943
"SPOT PRAWN TRAP VESSEL PERMIT, TIER 3",N/A,N/A,N/A,N/A,"$              8,000","$            11,165","$             10,663","$            11,363","$            10,663","$             11,324"
Late Fees,,,,,,,,,,
LIMITED ENTRY LATE FEE,"$                 3,950","$               4,650","$               3,650","$               5,400","$               3,850","$              5,300","$               4,650","$               5,000",N/A,N/A
LIMITED ENTRY LATE FEE (1 TO 30 DAYS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$               6,500","$              7,700"
LIMITED ENTRY LATE FEE (31 TO 60 DAYS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$              4,000","$               7,965"
LIMITED ENTRY LATE FEE (61 OR MORE DAYS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$             26,500","$             33,984"
MARKET SQUID/LIGHT VESSEL LATE FEE,"$                  5,250","$               3,750","$               1,500","$               3,750","$               1,500",N/A,N/A,N/A,N/A,N/A
MARKET SQUID LATE FEE,N/A,N/A,N/A,N/A,N/A,$                 750,"$               2,500","$               2,250","$               1,500",N/A
SALMON VESSEL PERMIT LATE FEE,"$               11,500","$             11,500","$            11,300","$            13,700","$             10,800","$              9,400","$               8,500",$                       -,N/A,N/A
Nonrestrictive Permits,,,,,,,,,,
ANCHOVY TAKE PERMIT,"$                  4,710","$              4,230","$               3,480","$               2,970","$               2,880","$              2,684","$               2,336","$              2,890","$               2,840","$               2,794"
BAY SHRIMP PERMIT,$                     960,"$              1,050","$               1,050",$                 840,$                 660,$                  641,$                 672,$                  646,$                 568,$                  755
COONSTRIPE SHRIMP VESSEL PERMIT,N/A,N/A,$                  825,"$              2,700","$               2,700","$              2,135","$               2,560","$               2,558","$               3,026","$              4,158"
CRAYFISH PERMIT,"$                  1,800","$              1,620","$               1,440","$               1,530","$               1,260","$               1,220","$              1,696","$              1,462","$               1,775","$               1,963"
DRIFT GILL NET PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRIFT GILL NET (VESSEL) PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUNGENESS CARB (T)(NT),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FISH LANDED OUTSIDE CALIFORNIA PERMIT,$                     285,$                 210,$                 210,$                 165,$                 120,$                 153,$                 256,$                 187,$                 124,$                  131
GHOST SHRIMP PERMIT,$                     780,"$               1,080",$                  810,$                  780,$                  540,$                  275,$                 320,$                  340,$                 497,$                  642
GOLDEN & RIDGEBACK PRAWN PERMIT,"$                  5,760","$               5,310","$               4,350","$              3,360","$               2,340","$              1,739","$               1,824","$               1,598","$               1,562","$               1,925"
INLAND/FRESHWATER FISH PERMIT,$                    810,$                 840,$                  930,"$               1,320","$              1,080",$                 946,$                 960,"$               1,054",$                  852,"$               1,057"
KELP HARVESTER LICENSE,"$                  3,900","$               2,800","$               3,500","$              4,400","$               3,500","$              3,553","$               3,096","$               3,413","$               5,096","$               4,150"
LOBSTER CREWMEMBER PERMIT,"$                23,250","$             24,625","$             25,500","$             21,875","$             17,875","$             18,796","$             23,363","$            24,609","$            30,095","$             31,028"
MARINE AQUARIA COLLECTOR PERMIT,"$                  2,640","$               3,300","$              3,300","$               2,970","$              3,960","$               3,350","$               3,168","$               3,000","$               4,692","$               6,644"
NORTHERN ROCK CRAB TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,"$               7,750","$              4,467","$               6,160","$               9,344","$              8,990"
PACIFIC MAKEREL,"$                  4,530","$               4,050",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SARDINE,"$                  5,340",$                    90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEA URCHIN CREWMEMBER PERMIT,"$                  7,410","$               6,660","$              6,090","$               5,820","$               4,800","$              4,240","$               4,192","$               4,624","$              5,929","$              6,153"
SHRIMP/PRAWN TRAWL PERMIT,"$                  2,970",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOUTHERN PINK SHRIMP TRAWL PERMIT,N/A,"$               1,680","$              1,710","$               1,380","$              1,140","$               1,068",$                  672,$                  714,$                 639,$                 604
SWORDFISH PERMIT,"$                14,850","$             13,200","$            13,530","$             14,850","$             18,480","$            19,095","$             22,528","$             27,375","$            24,633","$            26,161"
TANNER CRAB TRAP VESSEL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,$                      -,$                      -,$                       -,$                      -
TIDAL INVERTEBRATE PERMIT,"$                11,670","$            11,880","$             10,920","$             10,470","$            10,290","$              9,669","$              9,728","$               9,792","$               9,017","$               9,626"
TRAP PERMIT,"$               28,840","$             30,450","$             31,605","$             28,595","$            26,285","$             23,466","$            27,491","$             33,827","$            39,467","$             39,776"
Permit Transfers,,,,,,,,,,
DRIFT GILL NET PERMIT TRANSFER,N/A,N/A,N/A,"$               4,500","$               1,500","$               6,000","$               1,500","$               6,000","$              1,500",$                       -
DRIFT GILL NET VESSEL PERMIT TRANSFER,N/A,N/A,N/A,$                  130,$                 260,$                  260,$                 260,$                  130,$                  260,$                      -
DRIFT GILL NET TRANSFER,N/A,N/A,N/A,$                  300,$                  400,$                  300,$                  500,$                  600,$                  200,$                       -
DUNGENESS CRAB TRANSFER,N/A,N/A,N/A,$                 200,$                      -,$                       -,$                  600,$                  200,$                 400,$                      -
HERRING BOAT TRANSFER,N/A,N/A,N/A,$                  450,$                  150,$                  800,$                   50,$                 650,$                  300,$                       -
LOBSTER OPERATOR PERMIT TRANSFER,N/A,N/A,N/A,N/A,N/A,"$               5,000","$               5,000","$               5,000","$               7,000","$               2,000"
MARKET SQUID BRAIL PERMIT TRANSFER,N/A,N/A,N/A,N/A,N/A,"$              1,000","$              1,500",$                  500,"$               3,500",$                       -
MARKET SQUID LIGHT BOAT OWNER'S PERMIT,"$              122,500","$            18,000","$             16,400","$             16,000","$             16,000",N/A,N/A,N/A,N/A,N/A
MARKET SQUID TRANSFER FEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARKET SQUID VESSEL PERMIT TRANSFER,N/A,N/A,N/A,$                 750,$                  750,"$               1,500","$               5,000","$              4,000","$              9,500","$               1,000"
NEARSHORE FISHERY PERMIT TRANSFER,N/A,N/A,N/A,"$               3,500","$              1,000","$              1,000","$              2,000","$               4,500","$               1,000",$                  500
NEARSHORE FISHERY TRAP ENDORSEMENT TRANSFER,N/A,N/A,N/A,$                 225,$                  225,$                      -,$                    75,$                 300,$                 225,$                   75
NORTHERN PINK SHRIMP TRAWL (VESSEL) (NEW OWNER),N/A,N/A,N/A,N/A,"$               4,000","$               1,000","$               1,000","$               5,000","$              2,000","$              1,000"
NORTHERN PINK SHRIMP TRAWL (VESSEL) (SAME OWNER),N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                       -,$                       -,$                      -
NORTHERN PINK SHRIMP TRAWL (VESSEL) (TEMP),N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                       -,$                      -,$                       -
SALMON VESSEL TRANSFER,N/A,N/A,N/A,$                 200,$                  200,$                  800,$                 800,$                       -,$                       -,$                       -
SPOT PRAWN TRAP VESSEL (NEW OWNER),N/A,N/A,N/A,$                  400,$                       -,$                 600,$                 600,$                       -,$                  400,$                      -
SPOT PRAWN TRAP VESSEL (SAME OWNER),N/A,N/A,N/A,N/A,N/A,$                      -,$                       -,$                      -,$                    50,$                    50
SQUID LIGHT BOAT TRANSFER,N/A,N/A,N/A,N/A,$                  500,$                  500,"$               5,000","$               6,500","$               3,000","$              1,000"
