Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Restricted Species Permit - AZA, Detrimental",$        426.00,$       433.25,$        445.50,$       457.00,$        462.25,$       468.25,$        468.25,$       469.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Breeding,$       426.00,$        433.25,$       445.50,$        457.00,$       462.25,$        468.25,$       4 68.25,$       469.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Broker/Dealer (R),$        426.00,$       433.25,$        445.50,$       457.00,$        462.25,$        468.25,$       4 68.25,$       469.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Broker/Dealer (NR),$        851.75,$        866.00,$       890.50,$        913.75,$        924.25,$        936.50,$        936.50,$        939.00,$       9 66.25,$       9 97.75
Restricted Species Permit - ELE & MOU Fee,N/A,N/A,N/A,$       433.25,$       438.25,$        444.00,$       444.00,$       445.25,$       4 58.25,$       4 73.25
Restricted Species Permit - Exhibiting (R),$        426.00,$        433.25,$       445.50,$        457.00,$        462.25,$        468.25,$       4 68.25,$       4 69.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Exhibiting (NR),$       851.75,$        866.00,$       890.50,$       913.75,$       924.25,$       936.50,$       9 36.50,$       9 39.00,$       9 66.25,$       9 97.75
Restricted Species Permit - Fish,N/A,$       433.25,$       445.50,$        457.00,$        462.25,$        468.25,$       4 68.25,$       4 69.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Inspection Fee (Except Aquaculture & Fish),$        170.50,$       173.25,$       178.25,$        183.00,$        185.00,N/A,N/A,N/A,N/A,N/A
Restricted Species Permit - Inspection Fee (Aquaculture & Fish),N/A,"$     3,000.00","$    3,084.75","$     3,165.25","$    3,201.75","$     1,537.25","$    1 ,537.25","$    1 ,541.50","$    1 ,586.50","$    1 ,638.00"
Restricted Species Permit - Inspection Fee (1-5 Enclosures),N/A,N/A,N/A,$        221.27,$       223.77,$        226.75,$       2 26.75,$       2 27.25,$       2 33.75,$       2 41.25
Restricted Species Permit - Inspection Fee (6-25 Enclosures),N/A,N/A,N/A,$        312.45,$        315.95,$       320.25,$       3 20.25,$       3 21.00,$       3 30.25,$       3 41.00
Restricted Species Permit - Inspection Fee (26-50 Enclosures),N/A,N/A,N/A,$        512.22,$        518.22,$       525.00,$       5 25.00,$       5 26.50,$       5 41.75,$       5 59.25
Restricted Species Permit - Inspection Fee (51-100 Enclosures),N/A,N/A,N/A,$        807.72,$        816.97,$       827.75,$       827.75,$        830.00,$       8 54.25,$       8 82.00
Restricted Species Permit - Inspection Fee (101+ Enclosures),N/A,N/A,N/A,"$    2,994.77","$    3,029.27","$     3,069.25","$    3,069.50","$    3,077.75","$    3 ,167.50","$    3 ,270.50"
Restricted Species Permit - Native Species Exhibiting,$        426.00,$        433.25,$       445.50,$       457.00,$        462.25,$        468.25,$        468.25,$        469.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Nuisance Bird Abatement (R),$        426.00,$        433.25,$       445.50,$       457.00,$        462.25,$       468.25,$       468.25,$        469.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Nuisance Bird Abatement (NR),$       851.75,$       866.00,$        890.50,$       913.75,$        924.25,$       936.50,$       936.50,$        939.00,$       9 66.25,$       9 97.75
"Restricted Species Permit - Research, Detrimental",$        426.00,$       433.25,$       445.50,$        457.00,$        462.25,$        468.25,$        468.25,$       469.50,$       4 83.25,$       4 99.00
Restricted Species Permit - Shelter,$          50.75,$          51.50,$          53.00,$          54.50,$         55.25,$          56.00,$         56.00,$         56.25,$         5 8.00,$         6 0.00
Restricted Species Permit - Single Event Breeding,$         50.75,$          51.50,$         53.00,$         54.50,$          55.25,$         56.00,$          56.00,$         56.25,$         5 8.00,$         6 0.00
Scientific Collecting Permit Application Fee,N/A,N/A,N/A,$        100.00,$        101.25,$        102.50,$       102.50,$       102.75,$       1 05.75,N/A
Scientific Collecting Permit Application Fee (Student),N/A,N/A,N/A,$          25.00,$         25.25,$         2 5.50,$         2 5.50,$         2 5.50,$         2 6.25,N/A
Scientific Collecting Permit Amendment Fee (Student),N/A,N/A,N/A,$          25.00,$          25.25,$         2 5.50,$         2 5.50,$         2 5.50,$         2 6.25,N/A
Scientific Collecting Permit Amendment Fee,$          60.00,$         61.00,$          62.75,$        100.00,$        101.25,$       1 02.50,$       1 02.50,$       1 02.75,$       1 05.75,N/A
Scientific Collecting Permit (R),$          61.75,$         62.75,$          64.50,$       300.00,$        303.50,$       3 07.50,$       3 07.50,$       3 08.25,$       3 17.25,N/A
Scientific Collecting Permit (NR),$        206.75,$        210.25,$       216.25,$        300.00,N/A,N/A,N/A,N/A,N/A,N/A
Scientific Collecting Permit (Student),$          20.75,$         21.00,$         21.50,$          50.00,$          50.50,$         5 1.25,$         5 1.25,$         5 1.50,$         5 3.00,N/A
Scientific Collecting Permit General Use Application Fee - Inland Fisheries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         4 4.76,$          46.25
Scientific Collecting Permit General Use Application Fee - Inland Fisheries (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$         25.75
Scientific Collecting Permit General Use Application Fee - Marine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         4 4.76,$          46.25
Scientific Collecting Permit General Use Application Fee - Marine (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$         25.75
Scientific Collecting Permit General Use Application Fee - Terrestrial Wildlife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         4 4.76,$          46.25
Scientific Collecting Permit General Use Application Fee - Terrestrial Wildlife (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$         25.75
Scientific Collecting Permit Specific Use Application Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         4 4.76,$         46.25
Scientific Collecting Permit Specific Use Application Fee (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$         25.75
Scientific Collecting Permit General Use Amendment Fee - Inland Fisheries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         6 1.04,$          63.00
Scientific Collecting Permit General Use Amendment Fee - Inland Fisheries (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$         25.75
Scientific Collecting Permit General Use Amendment Fee - Marine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         6 1.04,$         63.00
Scientific Collecting Permit General Use Amendment Fee - Marine (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$          25.75
Scientific Collecting Permit General Use Amendment Fee - Terrestrial Wildlife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         6 1.04,$         63.00
Scientific Collecting Permit General Use Amendment Fee - Terrestrial Wildlife (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$          25.75
Scientific Collecting Permit Specific Use Amendment Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         8 9.28,$         92.25
Scientific Collecting Permit Specific Use Amendment Fee (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         2 5.00,$          25.75
Scientific Collecting Permit General Use - Inland Fisheries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       1 85.34,$       1 91.25
Scientific Collecting Permit General Use - Inland Fisheries (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         5 0.00,$         5 1.50
Scientific Collecting Permit General Use  - Marine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       1 85.34,$       1 91.25
Scientific Collecting Permit General Use  - Marine (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         5 0.00,$         5 1.50
Scientific Collecting Permit General Use - Terrestrial Wildlife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       1 85.34,$       1 91.25
Scientific Collecting Permit General Use - Terrestrial Wildlife (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         5 0.00,$         5 1.50
Scientific Collecting Permit Specific Use,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       2 69.08,$       2 77.75
Trapping License (Junior) (Recreational),$          34.75,$         35.25,$         36.25,$          37.25,$          37.75,$         3 8.25,$         3 8.25,$         3 8.25,$         3 9.25,$         4 0.50
Trapping License (Junior) (Recreational/Pest Control),N/A,N/A,N/A,$          37.25,$         37.75,$         3 8.25,$         3 8.25,$         3 8.25,$         3 9.25,$         4 0.50
Trapping License (Junior) (Pest Control Only),N/A,N/A,N/A,$          37.25,$          37.75,$         3 8.25,$         3 8.25,$         3 8.25,$         3 9.25,$         4 0.50
Trapping License (R) (Recreational),$        103.50,$       105.25,$       108.25,$        111.00,$        112.25,$       1 13.75,$       1 13.75,$       1 14.00,$       1 17.25,$       1 21.00
Trapping License (R) (Recreational/Pest Control),N/A,N/A,N/A,$       111.00,$        112.25,$       1 13.75,$       1 13.75,$       1 14.00,$       1 17.25,$       1 21.00
Trapping License  (R) (Pest Control Only),N/A,N/A,N/A,$        111.00,$       112.25,$       1 13.75,$       1 13.75,$       1 14.00,$       1 17.25,$       1 21.00
Trapping License (NR) (Recreational),$        518.00,$        526.75,$        541.75,$        556.00,$        562.50,$       5 70.00,$       5 70.00,$       5 71.50,$       5 88.25,$       6 07.25
Trapping License (NR) (Recreational/Pest Control),N/A,N/A,N/A,$        556.00,$        562.50,$       5 70.00,$       5 70.00,$       5 71.50,$       5 88.25,$       6 07.25
Trapping License  (NR) (Pest Control Only),N/A,N/A,N/A,$       556.00,$        562.50,$       5 70.00,$       5 70.00,$       5 71.50,$       5 88.25,$       6 07.25
Warden Stamp,$            5.00,$            5.00,$            5.00,$            5.00,$            5.00,$            5.00,$            5.00,$            5.00,$            5.00,$            5.00
