Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,
Restricted Species Permit Exhibiting (R),"$52,530","$50,974","$28,067",-,-,-,-,-,-,-
Restricted Species Permit Exhibiting (NR),$0,"$1,051","$3,239",-,-,-,-,-,-,-
Restricted Species Permit Fish,$510,$0,$0,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (Aquaculture & Fish),$0,$0,$0,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (1-5 Enclosures),"$20,706","$18,796","$11,745",-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (6-25 Enclosures),"$20,910","$23,351","$13,284",-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (26-50 Enclosures),"$12,573","$13,547","$5,445",-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (51-100 Enclosures),"$7,212","$6,503","$3,817",-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (101+ Enclosures),"$6,686","$6,890",$0,-,-,-,-,-,-,-
Restricted Species Permit Native Species Exhibiting,"$10,710","$12,087","$7,017",-,-,-,-,-,-,-
Restricted Species Permit Nuisance Bird Abatement (R),"$2,040","$1,051","$1,080",-,-,-,-,-,-,-
Restricted Species Permit Nuisance Bird Abatement (NR),$0,$0,$0,-,-,-,-,-,-,-
"Restricted Species Permit Research, Detrimental","$15,300","$16,291","$19,971",-,-,-,-,-,-,-
Restricted Species Permit Shelter,"$1,409","$1,512",$712,-,-,-,-,-,-,-
Restricted Species Permit Single Event Breeding,$61,$0,$65,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Inland Fisheries,$756,$731,$500,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Inland Fisheries (Student),$26,$54,$0,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Application Fee Marine,"$1,040","$1,511",$850,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Application Fee Marine (Student),$131,$162,$56,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Application Fee Terrestrial Wildlife,"$1,087","$1,511",$500,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Application Fee Terrestrial Wildlife (Student),$53,$54,$56,-,-,-,-,-,-,-,
Scientific Collecting Permit Specific Use Application Fee,"$31,815","$30,888","$11,396",-,-,-,-,-,-,-,
Scientific Collecting Permit Specific Use Application Fee (Student),"$1,339","$1,809",$666,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Amendment Fee Inland Fisheries,$65,$266,$137,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Amendment Fee Inland Fisheries (Student),$0,$0,$0,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Amendment Fee Marine,$194,$266,$137,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Amendment Fee Marine (Student),$26,$0,$0,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Amendment Fee Terrestrial Wildlife,$65,$67,$68,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Amendment Fee Terrestrial Wildlife (Student),$0,$0,$0,-,-,-,-,-,-,-,
Scientific Collecting Permit Specific Use Amendment Fee,"$11,876","$13,386","$5,885",-,-,-,-,-,-,-,
Scientific Collecting Permit Specific Use Amendment Fee (Student),$315,$243,$56,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Inland Fisheries,"$2,151","$2,620",$828,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Inland Fisheries (Student),$106,$54,$0,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Marine,"$3,715","$5,844","$2,898",-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Marine (Student),$158,$434,$167,-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Terrestrial Wildlife,"$3,910","$5,038","$1,035",-,-,-,-,-,-,-,
Scientific Collecting Permit General Use Terrestrial Wildlife (Student),$53,$54,$56,-,-,-,-,-,-,-,
Scientific Collecting Permit Specific Use,"$104,228","$91,924","$30,075",-,-,-,-,-,-,-,
Scientific Collecting Permit Specific Use (Student),"$2,427","$3,201","$1,004",-,-,-,-,-,-,-,
Trapping License (Junior) (Pest Control Only),$0,$0,$0,-,-,-,-,-,-,-,
Trapping License (R) (Pest Control Only),"$74,993","$79,688",$0,-,-,-,-,-,-,-,
Trapping License (NR) (Pest Control Only),"$1,862","$1,280",$0,-,-,-,-,-,-,-,
Warden Stamp,"$34,165","$48,145","$23,800",-,-,-,-,-,-,-,
Total Special Permits,"$1,107,028","$1,210,513","$650,356",-,-,-,-,-,-,-,
