Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Native Reptile & Amphibian Permit (Take by Biol. Supply House),N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          59.50,$          60.75,$          61.75
Organizational Field Trial Permit,$          91.00,$          90.00,$          84.00,$          80.00,$          95.00,$          87.00,$          97.00,$          99.00,$          98.00,$          90.00
"Restricted Species Permit - Animal Care, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        289.50,$        294.50
"Restricted Species Permit - Animal Care, Welfare",N/A,N/A,N/A,N/A,N/A,N/A,$          33.00,$          34.00,$          34.75,$          35.25
Restricted Species Permit - Application Fee (Amended or Renewal),N/A,N/A,N/A,N/A,N/A,N/A,$          30.00,$          30.00,$          30.00,$          30.50
"Restricted Species Permit - AZA, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        289.50,$        294.50
Restricted Species Permit - Breeding,N/A,N/A,N/A,N/A,N/A,N/A,$        274.00,$        283.25,$        289.50,$        294.50
Restricted Species Permit - Broker/Dealer (R),N/A,N/A,N/A,N/A,N/A,N/A,$        274.00,$        283.25,$        289.50,$        294.50
Restricted Species Permit - Broker/Dealer (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        579.00,$        589.25
Restricted Species Permit - Clearinghouse,N/A,N/A,N/A,N/A,N/A,N/A,$         33.00,$          34.00,N/A,N/A
Restricted Species Permit - Detrimental Species,N/A,N/A,N/A,N/A,N/A,N/A,$       274.00,$        283.26,$        289.50,$        294.50
Restricted Species Permit - Exhibiting (R),N/A,N/A,N/A,N/A,N/A,N/A,$        274.00,$        283.25,$        289.50,$        294.50
Restricted Species Permit - Exhibiting (NR),N/A,N/A,N/A,N/A,N/A,N/A,$        274.00,$        283.25,$        289.50,$        589.25
Restricted Species Permit - Native Species Exhibiting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        289.50,$        294.50
"Restricted Species Permit - Research, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        289.50,$        294.50
Restricted Species Permit - Shelter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          34.75,$          35.25
Restricted Species Permit - Single Event Breeding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          34.75,$          35.25
Scientific Collecting Permit (R),$          33.00,$          34.50,$          36.25,$          37.25,$          37.75,$          38.50,$          39.75,$          41.00,$          42.00,$          42.75
Scientific Collecting Permit (NR),$        110.25,$        115.50,$        121.00,$        124.00,$        126.00,$        128.75,$        132.75,$        137.25,$        140.25,$        142.75
Scientific Collecting Permit (Student),$          11.00,$          11.50,$          12.00,$          12.25,$          12.50,$          12.75,$          13.25,$          13.75,$          14.00,$          14.25
Suction Dredge - Inspection Fee (R),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        132.75,$        135.25
Suction Dredge - Inspection Fee (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        152.25,$        155.00
Suction Dredge - Standard (R),$          27.50,$          26.25,$          27.50,$          28.00,$          28.75,$          29.50,$          30.50,$          31.50,$          32.25,$          32.75
Suction Dredge - Standard (NR),$        110.25,$        104.75,$        109.75,$        111.25,$        114.00,$        116.50,$        120.25,$        124.25,$        127.00,$        129.25
Suction Dredge - Special (R),$        159.75,$        136.00,$       142.50,$       144.50,$        148.25,$       151.50,$        156.25,$        161.50,N/A,N/A
Suction Dredge - Special (NR),N/A,N/A,$       241.25,$        244.50,$        250.75,$        256.25,$        264.25,$        273.25,N/A,N/A
Trapping License (Junior),$          18.50,$          19.25,$          20.25,$          20.50,$          21.00,$          21.50,$          22.25,$          23.00,$          23.50,$          24.00
Trapping License (R),$          55.25,$          57.75,$          60.50,$          61.25,$          62.75,$          64.25,$          66.25,$          68.50,$          70.00,$          71.25
Trapping License (NR),$        276.75,$        289.75,$        303.75,$        308.00,$        316.00,$        323.00,$        333.00,$        344.25,$        351.75,$        358.00
