"source","table","region","port_complex_group","port_complex","year","category","comm_name_orig","comm_name","sci_name","landings_n"
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",2532
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Salmon","Salmon","Salmon","Oncorhynchus spp.",197
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",598454
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",40654
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",1928
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",59281
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Flatfish","California halibut","California halibut","Paralichthys californicus",22359
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",1346
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",4020
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",61054
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Other species","All other species","All other species","variable spp.",41254
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",9279
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",226397
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",3547
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Other species","White seabass","White seabass","Atractoscion nobilis",11244
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",13164
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Rockfish","Rockfish","Rockfish","Sebastes spp.",243125
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",2143
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",3885
"FB 121","FB 121","Statewide","Statewide","Statewide",1937,"Salmon","Salmon","Salmon","Oncorhynchus spp.",1005
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",314256
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",14373
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",3462
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",87959
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Flatfish","California halibut","California halibut","Paralichthys californicus",17494
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",3833
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",11927
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",42556
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Other species","All other species","All other species","variable spp.",46147
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",13188
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",435917
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",4597
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Other species","White seabass","White seabass","Atractoscion nobilis",14093
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",21063
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Rockfish","Rockfish","Rockfish","Sebastes spp.",239312
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",4578
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",4893
"FB 121","FB 121","Statewide","Statewide","Statewide",1938,"Salmon","Salmon","Salmon","Oncorhynchus spp.",1960
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",663498
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",17326
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",1222
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",160962
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Flatfish","California halibut","California halibut","Paralichthys californicus",39736
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",8816
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",9909
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",25955
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Other species","All other species","All other species","variable spp.",81022
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",11517
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",426772
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",7672
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Other species","White seabass","White seabass","Atractoscion nobilis",30218
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",17866
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Rockfish","Rockfish","Rockfish","Sebastes spp.",209453
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",2323
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",6436
"FB 121","FB 121","Statewide","Statewide","Statewide",1939,"Salmon","Salmon","Salmon","Oncorhynchus spp.",3501
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",704520
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",9983
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",10109
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",119320
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Flatfish","California halibut","California halibut","Paralichthys californicus",55838
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",142
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",6878
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",95204
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Other species","All other species","All other species","variable spp.",94355
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",11231
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",411490
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",4223
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Other species","White seabass","White seabass","Atractoscion nobilis",15979
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",15098
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Rockfish","Rockfish","Rockfish","Sebastes spp.",301355
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",3248
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",6785
"FB 121","FB 121","Statewide","Statewide","Statewide",1940,"Salmon","Salmon","Salmon","Oncorhynchus spp.",7080
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",677449
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",36496
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",4505
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",148041
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Flatfish","California halibut","California halibut","Paralichthys californicus",104436
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",11445
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",2194
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",6948
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Other species","All other species","All other species","variable spp.",100612
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",13004
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",683064
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",5160
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Other species","White seabass","White seabass","Atractoscion nobilis",20724
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",26062
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Rockfish","Rockfish","Rockfish","Sebastes spp.",193377
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",9886
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",22011
"FB 121","FB 121","Statewide","Statewide","Statewide",1947,"Salmon","Salmon","Salmon","Oncorhynchus spp.",5018
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",384056
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",14519
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",2351
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",203012
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Flatfish","California halibut","California halibut","Paralichthys californicus",143462
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",15414
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",104
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",13028
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Other species","All other species","All other species","variable spp.",134963
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",17261
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",630617
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",14124
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Other species","White seabass","White seabass","Atractoscion nobilis",24078
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",52554
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Rockfish","Rockfish","Rockfish","Sebastes spp.",410271
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",14590
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",24406
"FB 121","FB 121","Statewide","Statewide","Statewide",1948,"Salmon","Salmon","Salmon","Oncorhynchus spp.",11209
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",366423
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",5372
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",2932
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",95158
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Flatfish","California halibut","California halibut","Paralichthys californicus",104639
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",22692
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",1941
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",17710
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Other species","All other species","All other species","variable spp.",159427
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",15440
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",796959
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",14576
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Other species","White seabass","White seabass","Atractoscion nobilis",65545
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",37030
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Rockfish","Rockfish","Rockfish","Sebastes spp.",570637
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",14125
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",26131
"FB 121","FB 121","Statewide","Statewide","Statewide",1949,"Salmon","Salmon","Salmon","Oncorhynchus spp.",23057
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",256367
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",2359
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",557
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",66969
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Flatfish","California halibut","California halibut","Paralichthys californicus",85935
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",118087
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",27
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",6971
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Other species","All other species","All other species","variable spp.",121061
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",14281
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",619397
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",14925
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Other species","White seabass","White seabass","Atractoscion nobilis",54718
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",53419
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Rockfish","Rockfish","Rockfish","Sebastes spp.",679164
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",15971
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",23868
"FB 121","FB 121","Statewide","Statewide","Statewide",1950,"Salmon","Salmon","Salmon","Oncorhynchus spp.",56337
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",269545
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",14475
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",202
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",47188
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Flatfish","California halibut","California halibut","Paralichthys californicus",59295
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",75924
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",7142
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",23721
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Other species","All other species","All other species","variable spp.",126352
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",20416
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",781609
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",8828
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Other species","White seabass","White seabass","Atractoscion nobilis",44367
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",35721
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Rockfish","Rockfish","Rockfish","Sebastes spp.",721808
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",18029
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",24052
"FB 121","FB 121","Statewide","Statewide","Statewide",1951,"Salmon","Salmon","Salmon","Oncorhynchus spp.",71970
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",336862
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",7649
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",4395
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",76568
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Flatfish","California halibut","California halibut","Paralichthys californicus",34158
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",187267
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",145
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",59263
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Other species","All other species","All other species","variable spp.",136687
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",16481
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",536075
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",10003
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Other species","White seabass","White seabass","Atractoscion nobilis",41043
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",39068
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Rockfish","Rockfish","Rockfish","Sebastes spp.",705761
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",10847
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",17389
"FB 121","FB 121","Statewide","Statewide","Statewide",1952,"Salmon","Salmon","Salmon","Oncorhynchus spp.",86472
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",170550
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",6321
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",196280
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",61467
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Flatfish","California halibut","California halibut","Paralichthys californicus",34290
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",23363
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",4276
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",27702
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Other species","All other species","All other species","variable spp.",147783
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",17349
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",711400
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",4963
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Other species","White seabass","White seabass","Atractoscion nobilis",27603
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",28952
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Rockfish","Rockfish","Rockfish","Sebastes spp.",696475
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",9650
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",13011
"FB 121","FB 121","Statewide","Statewide","Statewide",1953,"Salmon","Salmon","Salmon","Oncorhynchus spp.",98723
