"","data_source","authority","operator","facility_name","facility_id1","facility_id2","address1","address2","street_addres","locality","postal_code","description","type_use","commodity","storage_capacity","berth_description","keywords","website","long_dd","lat_dd"
"11","BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities","Cowichan Bay Fisherman's Wharf Association","Westcan terminals Ltd.","Cowichan Bay Docks",194,423,"Cowichan Bay, BC","Box 131, 5105 Tzouhalem Rd, Duncan BC  V9L 6Y1","","Cowichan Bay","V9L 6Y1","Terminal","Forest Products","lumber and other forest products","8 ha of paced area for assembly and storage of lumber","Berth #1: (southern) length 155 m, depth 9.3 m; #2 (Northern) length198 m, depth 8.3 m","Cowichan Bay; Terminal; Docks; Forest Products; Lumber","",-123.6233665,48.7484595
"12","Department of Fisheries and Oceans Small Craft Harbours","Harbour Authority of Saltspring Island","DFO Small Craft Harbour","Musgrave (Saltspring Island)",195,509,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd","Salt Spring Island","V8K 2T9","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Musgrave; Saltspring Island; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.549533,48.749138
"13","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Saltspring Island","DFO Small Craft Harbour","Fulford Harbour (Saltspring Island)",196,325,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd","Salt Spring Island","V8K 2T9","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats","Fulford Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc",-123.4500608,48.7688514
"14","Department of Fisheries and Oceans Small Craft Harbours","Salt Spring Island Harbour Authority","DFO Small Craft Harbour","Burgoyne Bay (Saltspring Island)",197,271,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd","Salt Spring Island","V8K 2T9","Port","Fishing ","fish, core fishing harbour","moorage","floats","Burgoyne Bay; Salt Spring Island; Fishing; Port; Small Craft Harbour","http://www.haa.bc.ca/harbour/burgoyne-bay-saltspring-island",-123.521491,48.792816
"15","Harbour Association of British Columbia","Bamfield Harbour Authority","Bamfield Harbour Authority","Bamfield East",198,539,"Bamfield, BC","Box 101, Bamfield, BC  V0R 1B0","","Bamfield","V0R 1B0","Harbour","Recreational","recreational","moorage, hydro, water, garbage, laundry, restroom facilities, pay phone, parking, light ","wharf and floats, launch, plane float, derrick","Bamfield East; Port; Bamfield Inlet; Fishing; Small Craft Harbour ","http://www.haa.bc.ca/harbour/bamfield",-125.1371927,48.8283027
"16","Department of Fisheries and Oceans Small Craft Harbours","Bamfield Harbour Authority","DFO Small Craft Harbour","Bamfield West",199,527,"Bamfield, BC","Box 101, Bamfield, BC  V0R 1B0","","Bamfield","V0R 1B0","Port","Fishing ","fish, core fishing harbour","moorage","wharf and floats","Bamfield West; Port; Bamfield Inlet; Fishing; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.1401556,48.8289928
"17","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Lyall Harbour (Saturna Island)",200,247,"Saturna Island, BC","Saturna Island, BC","","Saturna Island","","Harbour","Recreational","recreational","moorage","wharf and floats","Lyall Harbour; Saturna Island; Recreational; Harbour; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.2010828,48.7981295
"18","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Horton Bay",201,199,"Mayne Island, BC","Mayne Island, BC","","Mayne Island","","Harbour","Recreational","recreational","moorage","dock and floats","Henslung Cove; Non-Core; Fishing; Harbour; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.244489,48.8246526
"19","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Saltspring Island","DFO Small Craft Harbour","Ganges (Outer Harbour)",202,315,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd","Salt Spring Island","V8K 2T9","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, restroom facilities, pay phone","wharf and floats, launch, plane float, derrick, breakwater","Ganges Outer; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.4977102,48.8521309
"20","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Saltspring Island","DFO Small Craft Harbour","Ganges (Inner Harbour)",203,545,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd","Salt Spring Island","V8K 2T9","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, restroom facilities, pay phone","floats, launch, breakwater","Ganges Inner; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.498477,48.854052
"21","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia","The Corporation of the District of North Cowichan","DFO Small Craft Harbour","Crofton",204,501,"Crofton, BC","7030 Trans Can. Box 278 Duncan, BC  V9L 3X4","","Crofton","V9L 3X4","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pay phone","wharf and floats, breakwater derrick","Crofton; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.639027,48.865384
"22","Harbour Authority of British Columbia; Catalyst Paper Corp - Crofton Division; BC Ports Handbook 2014","Crofton Harbour ","Catalyst Paper Corp - Crofton Division","Stuart Channel Wharfs",205,197,"Crofton, BC","Box 70, 8451 Hay Rd, Crofton, BC  V0R 1R0","","Crofton","V0R 1R0","Terminal","Pulp and Paper","forest products - woodpulp, newsprint, lumber","Berth #1: 1040 sq m of covered storage space; Berth #2: 2600 sq m of covered storage space; Berth #3: 843 sq m of covered storage space","Berth #1 (north) length 170 m, depth 12 m; #2: (Central) length 152 m, depth 12.2 m; #3 (south) length 138 m, depth 12 m","Catalyst Mill; Stuart Channel Wharfs; Crofton: Pulp and Paper; Terminal: Wood Products","http://www.haa.bc.ca/harbour/crofton",-123.6420881,48.8741874
"23","Department of Fisheries and Oceans Small Craft Harbours","Harbour Authority of Saltspring Island","DFO Small Craft Harbour","Vesuvius Bay (Saltspring Island)",206,201,"127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd, Salt Spring Island, BC","127 Fulford Ganges Rd","Salt Spring Island","V8K 2T9","Port","Fishing","fish, core fishing harbour","moorage","dock and floats","Saltspring Island; Vesuvius; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.5733694,48.8817083
"24","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Whaler Bay Harbour Authority","DFO Small Craft Harbour","Whaler Bay",207,185,"RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18","Galiano Island","V0N 1P0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water. lights, pay phone","wharf and floats","Whaler Bay; Galiano Island; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.325831,48.883383
"25","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Itatsoo (Ucluelet)",208,419,"Port Albion, BC","Port Albion, BC","","Port Albion","","Port","Fishing","fish, non-core fishing harbour","moorage","wharf and floats","Ucluelet; Porcher Island; Non-Core; Fishing; Harbour; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.528657,48.936509
"26","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the Village of Ucluelet","DFO Small Craft Harbour","Ucleulet (Otter Street)",209,407,"Ucluelet, BC","PO Box 999, 200 Main St, Ucluelet, BC  V0R 3A0","","Ucluelet","V0R 3A0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone","wharf and floats","Ucleulet; Otter Street; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.541178,48.941062
"27","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the Village of Ucluelet","DFO Small Craft Harbour","Ucleulet West",210,345,"Ucluelet, BC","PO Box 999, 200 Main St, Ucluelet, BC  V0R 3A0","","Ucluelet","V0R 3A0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, security, pay phone, restroom facilities","wharf and floats, breakwater","West Ucleulet; Non-Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.553858,48.945403
"28","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Ucleulet East",211,387,"Port Albion, BC","Port Albion, BC","","Port Albion","","Port","Fishing","fish, non-core fishing harbour","moorage","wharf and floats","East Ucleulet; Non-Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.540174,48.945915
"29","BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities; Western Forest Products Inc","Chemainus Harbour Authority","Western Forest Products","Chemainus Sawmill Wharf",212,377,"2860 Victoria St, Chemainus, BC","2860 Victoria St, Chemainus, BC","2860 Victoria St","Chemainus","V0R 1K0","Terminal","Forest Products","lumber","N/A","length 170 m, min water depth 15.8 m (north), 9.7 m (south)","Chemainus; Vancouver Island; Lumber; Logs; Terminal","http://www.westernforest.com/products/manufacturing/",-123.7096575,48.9253074
"30","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Ladysmith Fisherman's Wharf Association","DFO Small Craft Harbour","Ladysmith",213,425,"Ladysmith, BC","PO Box 130, Ladysmith, BC  V9G 1A1","","Ladysmith","V9G 1A1","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, lights, parking, storage, restroom facilities, pay phone, security","wharf and floats, breakwater, launch, derrick","Ladysmith; Delta; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.8146088,48.99912
"31","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Whaler Bay Harbour Authority","DFO Small Craft Harbour","North Galiano",214,435,"RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18, Galiano Island, BC","RR#1, Site 16, C-18","Galiano Island","V0N 1P0","Port","Fishing","fish, core fishing harbour","moorage","wharf and floats, breakwater","Galiano Island; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.5844312,48.9946684
"32","Westshore Terminals; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Westshore Income Fund, Westar Management","Westshore Terminals Ltd.",215,229,"1 Roberts Bank, Delta, BC","1 Roberts Bank, Delta, BC","1 Roberts Bank","Delta","V4M 4G5","Terminal","Breakbulk and Bulk ","coal and petroleum coke","N/A","#1: length 350 m, depth 22.9 m; #2: length 263 m, depth 19.4 m; rail access and capacity","Westshore; Delta; Terminal; Coal; Petroleum; Strait of Georgia; Roberts Bank","http://www.westshore.com/#/main",-123.156068,49.0144166
"33","Global Container Terminals Canada; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","TSI Terminal Systems Inc ","DeltaPort Container Terminal",216,533,"2 Roberts Bank Way, Delta, BC","2 Roberts Bank Way, Delta, BC","2 Roberts Bank Way","Delta","V4M 4G5","Terminal","Container ","containerized cargo","Annual capacity 1.4 million TEUs","Container berths totalling 1100 m length, depth alongside 15.9 m at low tide; rail access and capacity","Deltaport; Richmond; Terminal; Container; Strait of Georgia; Roberts Bank","http://globalterminalscanada.com/",-123.1657235,49.0228805
"34","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Ladner Harbour Authority","DFO Small Craft Harbour","Ladner (Delta)",217,287,"4850 McNeeley's Way, Delta, BC","4850 McNeeley's Way, Delta, BC","4850 McNeeley's Way","Delta","V4K 5E2","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, storage, restroom facilities, security, pumpout","wharf and floats, derrick","Ladner; Delta; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.091726,49.092324
"35","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Tofino Harbour Authority","DFO Small Craft Harbour","Tofino (Armitage Point)",218,225,"Tofino, BC","Box 826, 40-4th St, Tofino, BC  V0R 2Z0","","Tofino","V0R 2Z0","Port","Fishing","fish, core fishing harbour","moorage, pay phone","wharf and floats","Tofino; Armitage Point; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.892149,49.150864
"36","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Tofino Harbour Authority","DFO Small Craft Harbour","Tofino - 4th Street Floats",219,209,"Tofino, BC","Box 826, 40-4th St, Tofino, BC  V0R 2Z0","","Tofino","V0R 2Z0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, security, pay phone, restroom facilities","wharf and floats, derrick, breakwater, launch, plane float","Tofino; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.9002778,49.1533333
"37","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Tofino Harbour Authority","DFO Small Craft Harbour","Tofino (Wingen Lane)",220,349,"Tofino, BC","Box 826, 40-4th St, Tofino, BC  V0R 2Z0","","Tofino","V0R 2Z0","Port","Fishing","fish, core fishing harbour","moorage, pay phone, lights","floats, plane float","Tofino; Wingen Lane; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.905593,49.15444
"38","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Steveston Harbour Authority","DFO Small Craft Harbour","Steveston (Paramont)",221,303,"12740 Trites Rd, Richmond, BC","12740 Trites Rd, Richmond, BC","12740 Trites Rd","Richmond","V7E 3R8","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, security, fuel sales, restroom facilities, laundry, pay phone","wharf and floats, derrick, breakwater, launch","Steveston; Gulf of Georgia; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.16137,49.11883
"39","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia","Degnan Bay Harbour Authority","DFO Small Craft Harbour","Degnen Bay",222,245,"Gabriola Island, BC","PO Box 51, Gabriola Island, BC  V0R 1X0","","Gabriola Island","V0R 1X0","Port","Fishing","fish, core fishing harbour","moorage, hydro, garbage, lights, pay phone","wharf and floats, breakwater","Degnen Bay; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.713028,49.136847
"40","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Steveston Harbour Authority","DFO Small Craft Harbour","Steveston (Gulf of Georgia)",223,449,"12740 Trites Rd, Richmond, BC","12740 Trites Rd, Richmond, BC","12740 Trites Rd","Richmond","V7E 3R8","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, security, fuel sales, restroom facilities, laundry, pay phone","wharf and floats, derrick, breakwater, launch","Steveston; Gulf of Georgia; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.188864,49.1245554
"41","Nanaimo Port Authority; BC Ports Handbook 2014; Harmac Pacific","Nanaimo Port Authority","Nanaimo Forest Prodcuts Ltd","Harmac Pulp Operations",224,415,"Nanaimo, BC","PO Box 1800, 1000 Wave Pl, Nanaimo, BC  V9X 1J2","","Nanaimo","V9X 1J2","Terminal","Pulp and paper","softwood pulp","Private dock with extensive barge facilities","length 122 m, width 18 m, depth 10.2 m","Harmac; Terminal; Pulp and Paper; Nanaimo; Northumberland Channel","http://www.harmacpacific.com/contacts.php",-123.8562945,49.1402757
"42","Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Port Metro Vancouver","Fraser Wharves",225,461,"13800 Steveston Hwy, Richmond, BC","13800 Steveston Hwy, Richmond, BC","13800 Steveston Hwy","Richmond","V6W 1A8","Terminal","Not in use","facility not in use (2016), automobile terminal property purchased by Metro Port Vancouver","Accommodate 15,000 vehicles, dedicated automobile import facility, Direct access to national rail lines","length 153 m , depth 10 m FW","Fraser Wharfs; Fraser River; Richmond; Terminal; Vehicles; Metro Port Vancouver","http://www.cosbc.ca/index.php/local/item/820-bc-ports-handbook-now-available",-123.0694679,49.1289
"43","Nanaimo Port Authority; BC Ports Handbook 2014","Nanaimo Port Authority","Westcan Terminals Ltd ","Duke Point Deep Sea Terminal",226,447,"100 Port Dr, Nanaimo, BC","100 Port Dr, Nanaimo, BC","100 Port Dr","Nanaimo","V9R 5K4","Terminal","Forest Products and Cargo","forest products, general cargo, project cargo","6 ha of paved open storage area","length 170 m, depth 13.5 m","Terminal; Deep Sea; Duke Point; Westcan; Forest Products; Northumberland Channel","http://deepsea.npa.ca/en/terminal-facilities/cargo-facilities/duke-point/",-123.8777491,49.1488769
"44","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Opitsat",227,189,"Meares Island, BC","Meares Island, BC","","Meares Island","","Port","Fishing ","fish, non-core fishing harbour","moorage","wharf and floats","Opitsat; Non-Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-125.905842,49.172291
"45","Nanaimo Port Authority Terminal Facilities; BC Ports Handbook 2014 ","Nanaimo Port Authority","Westcan Terminals Ltd. ","Nanaimo Assemply Wharves",228,429,"100 Port Dr, Nanaimo, BC","100 Port Dr, Nanaimo, BC","100 Port Dr","Nanaimo","V9R 5K4","Terminal","Bulk and Cargo","forest products, general cargo","15 ha paved open storage, three warehouses totalling 8332 sq m of covered stoage","Berth A: length 182.88 m, depth 9.2 m; Berth B: length 182.88 m, depth 12.0 m; Berth C: length 182.88 m, depth 11.7 m","Nanaimo; Assembly Wharf; Terminal; Forest Products; Cargo; Departure Bay","http://portauthority.npa.ca/en/path-2025/nanaimo-assembly-wharf-terminal/",-123.9249664,49.1628818
"46","Nanaimo Port Authority; BC Ports Handbook 2014","Nanaimo Port Authority","Nanaimo Port Authority","Nanaimo Cruise Terminal",229,537,"100 Port Dr, Nanaimo, BC","100 Port Dr, Nanaimo, BC","100 Port Dr","Nanaimo","V9R 5K4","Terminal","Cruiseship","passengers","N/A","Concrete pontoon measuring approximately 300 feet in length by 50 feet","Nanaimo; Cruiseship; Terminal; Departure Bay; Passengers","http://cruise.npa.ca/en/",-123.9247056,49.1639796
"47","Seaspan Coastal Intermodal Company; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Seaspan Coastal Intermodal Company","Seaspan Coastal Intermodal Company",230,263,"7700 Hopcott Rd, Delta, BC","7700 Hopcott Rd, Delta, BC","7700 Hopcott Rd","Delta","V4G 1B6","Terminal","Ferry","truck, trailer, railcar ferry terminal serving Vancouver Island","14 acre paved yard","2 all tide ferry ramps, 3 layover, 1 barge ramp and bulkhead","Seaspan; Delta; Terminal; Trucks; Trailers; Railcars; Fraser River","http://www.seaspan.com/",-123.0335685,49.1440511
